"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","17-18","TOR","L","3","28.77","12.41","23.39","-10.98","34.66","25.88","48.78","7.88","18.12","-10.24","30.31","16.43","37.79","3.45","15.57","-12.12","18.14","7.19","32.47","1.82","1.02","0.8","64.08","3.8","2.13","0.57","0.99","-0.42","36.54","1.19","2.06","2","1","-1","4.17","2.09","52.75","93.45","23.1","94.37","7.23","94.54","15.86","-0.17","146.2","101.77","44.43"
"Auston Matthews","17-18","TOR","C","4","57.63","47.27","58.12","-10.85","44.85","49.21","60.51","43.09","44.91","-1.82","48.97","44.86","46.76","28.79","29.74","-0.95","49.19","29.97","30.96","2.89","3.71","-0.82","43.79","3.01","3.86","2.85","2.96","-0.11","49.05","2.97","3.08","4","6","2","4.16","6.25","10.04","87.53","6.71","91.74","6.61","93.41","0.09","-1.67","97.56","100.02","-2.46"
"Connor Brown","17-18","TOR","R","4","50.02","37.24","40.8","-3.56","47.72","44.67","48.94","30.26","32.11","-1.85","48.52","36.3","38.52","18.48","21.51","-3.03","46.21","22.17","25.8","1.64","0.88","0.76","65.08","1.97","1.06","2.26","1.75","0.51","56.36","2.71","2.1","5","5","--","6","6","8.87","95.91","5.42","97.26","7.47","94.55","-2.05","2.71","104.78","102.02","2.76"
"Jake Gardiner","17-18","TOR","D","4","73.8","52.25","70.5","-18.25","42.57","42.48","57.32","43.03","56.97","-13.94","43.03","34.98","46.32","26.96","44.07","-17.11","37.96","21.92","35.83","1.71","8.46","-6.75","16.81","1.39","6.88","2.87","3.34","-0.47","46.22","2.33","2.72","5","6","1","4.07","4.88","6.34","80.8","3.97","85.15","6.67","94.14","-2.7","-8.99","87.15","100.81","-13.66"
"James Van Riemsdyk","17-18","TOR","L","4","43.22","27.44","38.88","-11.44","41.38","38.09","53.98","21.54","32.72","-11.18","39.7","29.9","45.42","17.13","23.48","-6.35","42.18","23.78","32.6","1.86","4.59","-2.73","28.84","2.58","6.37","1.3","1.9","-0.6","40.62","1.8","2.64","6","2","-4","8.33","2.78","10.86","80.45","8.64","85.97","6.04","94.19","2.6","-8.22","91.31","100.23","-8.92"
"Kasperi Kapanen","17-18","TOR","R","4","37.25","26.94","31.45","-4.51","46.14","43.39","50.66","20.32","24.86","-4.54","44.98","32.73","40.04","13.46","19.31","-5.85","41.07","21.68","31.1","1.92","4.79","-2.87","28.61","3.09","7.72","1.21","1.25","-0.04","49.19","1.95","2.01","2","--","-2","3.22","--","14.26","75.19","9.45","80.73","5.95","94.97","3.49","-14.24","89.46","100.93","-11.47"
"Leo Komarov","17-18","TOR","C","2","13.42","7.91","17.08","-9.17","31.65","35.37","76.36","8.15","13.16","-5.01","38.24","36.44","58.84","1.5","9.65","-8.15","13.45","6.71","43.14","--","0.83","-0.83","--","--","3.71","0.46","0.5","-0.04","47.92","2.06","2.24","--","--","--","--","--","--","91.4","--","93.69","5.64","96.2","-5.64","-2.51","91.4","101.84","-10.45"
"Mitch Marner","17-18","TOR","C","4","55.82","35.49","43.77","-8.28","44.78","38.15","47.05","31.74","37.04","-5.3","46.15","34.12","39.81","20.65","28.74","-8.09","41.81","22.2","30.89","2.27","2.57","-0.3","46.9","2.44","2.76","1.47","1.7","-0.23","46.37","1.58","1.83","12","5","-7","12.9","5.37","10.99","91.06","7.15","93.06","4.63","95.41","2.52","-2.35","102.05","100.04","2.01"
"Morgan Rielly","17-18","TOR","D","4","69.3","38.96","73.65","-34.69","34.6","33.73","63.77","34.35","58.58","-24.23","36.96","29.74","50.72","21.98","38.58","-16.6","36.29","19.03","33.4","3.79","5.24","-1.45","41.97","3.28","4.54","1.93","3.37","-1.44","36.42","1.67","2.92","10","3","-7","8.66","2.6","17.24","86.42","11.03","91.05","5.62","94.25","5.41","-3.19","103.66","99.87","3.79"
"Nazem Kadri","17-18","TOR","C","3","38.07","24.78","22.4","2.38","52.52","39.05","35.3","21.2","18.63","2.57","53.23","33.41","29.36","13.43","13.78","-0.35","49.36","21.17","21.72","1.82","2","-0.18","47.64","2.87","3.15","0.87","0.94","-0.07","48.07","1.37","1.48","6","2","-4","9.46","3.15","13.55","85.49","8.58","89.26","4.1","94.95","4.48","-5.69","99.04","99.06","-0.02"
"Nikita Zaitsev","17-18","TOR","D","4","65.23","44.49","55.31","-10.82","44.58","40.92","50.88","38.91","43.61","-4.7","47.15","35.79","40.11","24.04","31.93","-7.89","42.95","22.11","29.37","1.71","4.94","-3.23","25.71","1.57","4.54","2.68","2.08","0.6","56.3","2.47","1.91","4","6","2","3.68","5.52","7.11","84.53","4.39","88.67","6.89","95.23","-2.49","-6.56","91.64","102.12","-10.48"
"Patrick Marleau","17-18","TOR","C","4","57.07","43.12","43.74","-0.62","49.64","45.33","45.99","39.26","36.52","2.74","51.81","41.28","38.39","24.59","26.61","-2.02","48.03","25.85","27.98","1.19","4.64","-3.45","20.41","1.25","4.88","1.72","2.15","-0.43","44.44","1.81","2.26","8","3","-5","8.41","3.15","4.84","82.56","3.03","87.29","4.38","94.11","-1.35","-6.82","87.4","98.49","-11.09"
"Roman Polak","17-18","TOR","D","4","56.88","43.78","38.29","5.49","53.34","46.18","40.39","33.27","29.82","3.45","52.73","35.09","31.46","22.83","26.74","-3.91","46.06","24.08","28.21","4.01","0.85","3.16","82.51","4.23","0.9","1.49","1.39","0.1","51.74","1.57","1.47","8","4","-4","8.44","4.22","17.56","96.82","12.05","97.15","4.48","95.34","7.57","1.81","114.39","99.82","14.57"
"Ron Hainsey","17-18","TOR","D","4","63.85","40.91","68.2","-27.29","37.49","38.44","64.09","35.47","54.85","-19.38","39.27","33.33","51.54","22.75","41.19","-18.44","35.58","21.38","38.71","1.93","4.17","-2.24","31.64","1.81","3.92","2.03","2.8","-0.77","42.03","1.91","2.63","6","3","-3","5.64","2.82","8.48","89.88","5.44","92.4","5.72","94.9","-0.28","-2.5","98.36","100.62","-2.26"
"Tomas Plekanec","17-18","TOR","C","4","41.92","19.62","46.64","-27.02","29.61","28.08","66.76","15.79","36.08","-20.29","30.44","22.6","51.64","8.32","31.47","-23.15","20.91","11.91","45.04","--","2.62","-2.62","--","--","3.75","0.67","1.37","-0.7","32.84","0.96","1.96","3","--","-3","4.29","--","--","91.67","--","92.74","4.24","96.2","-4.24","-3.46","91.67","100.45","-8.77"
"Travis Dermott","17-18","TOR","D","4","50.63","35.23","29.7","5.53","54.26","41.75","35.2","28.8","24.69","4.11","53.84","34.13","29.26","19.31","19.85","-0.54","49.31","22.88","23.52","2.15","1.89","0.26","53.22","2.55","2.24","1.53","1.15","0.38","57.09","1.81","1.36","7","4","-3","8.3","4.74","11.13","90.48","7.47","92.35","5.31","95.34","2.15","-3","101.61","100.65","0.96"
"Tyler Bozak","17-18","TOR","C","4","42.63","27.04","33.27","-6.23","44.84","38.06","46.83","20.09","28.31","-8.22","41.51","28.28","39.85","16.54","22.83","-6.29","42.01","23.28","32.13","1.86","2.02","-0.16","47.94","2.62","2.84","1.3","1.35","-0.05","49.06","1.83","1.9","4","2","-2","5.63","2.81","11.25","91.15","9.26","92.86","6.47","95.23","2.79","-2.37","102.4","101.7","0.7"
"William Nylander","17-18","TOR","C","4","52.15","36.78","45.59","-8.81","44.65","42.32","52.45","30.23","35.36","-5.13","46.09","34.78","40.68","22.01","28.96","-6.95","43.18","25.32","33.32","2.91","4.37","-1.46","39.97","3.35","5.03","1.92","2.22","-0.3","46.38","2.21","2.55","3","5","2","3.45","5.75","13.22","84.91","9.63","87.64","6.35","93.72","3.27","-6.08","98.13","100.07","-1.94"
"Zach Hyman","17-18","TOR","C","4","47.5","35.4","58.34","-22.94","37.76","44.72","73.69","29.23","45.02","-15.79","39.37","36.92","56.87","18.46","32.65","-14.19","36.12","23.32","41.24","2.79","2.61","0.18","51.67","3.52","3.3","2.16","2.09","0.07","50.82","2.73","2.64","5","8","3","6.32","10.11","15.11","92.01","9.54","94.2","7.39","95.36","2.16","-1.16","107.12","102.75","4.37"
