"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","17-18","TOR","L","6","57.17","42.73","53.97","-11.24","44.19","44.85","56.64","30.31","38.25","-7.94","44.21","31.81","40.14","19.06","29.82","-10.76","38.99","20","31.3","2.99","2.04","0.95","59.44","3.14","2.14","2.02","1.81","0.21","52.74","2.12","1.9","2","2","--","2.1","2.1","15.69","93.16","9.86","94.67","6.66","95.27","3.2","-0.6","108.85","101.93","6.91"
"Auston Matthews","17-18","TOR","C","7","106.5","92.23","95.07","-2.84","49.24","51.96","53.56","75.39","72.65","2.74","50.93","42.47","40.93","51.21","49.72","1.49","50.74","28.85","28.01","3.73","7.36","-3.63","33.63","2.1","4.15","5.12","4.56","0.56","52.89","2.88","2.57","5","8","3","2.82","4.51","7.28","85.2","4.95","89.87","6.79","93.72","-1.84","-3.85","92.48","100.51","-8.03"
"Connor Brown","17-18","TOR","R","7","93.52","75.56","77.76","-2.2","49.28","48.48","49.89","56.86","66.12","-9.26","46.24","36.48","42.42","36.03","44.89","-8.86","44.53","23.12","28.8","1.64","1.69","-0.05","49.25","1.05","1.08","3.53","3.37","0.16","51.16","2.26","2.16","6","6","--","3.85","3.85","4.55","96.24","2.88","97.44","6.21","94.9","-3.32","2.54","100.79","101.11","-0.32"
"Dominic Moore","17-18","TOR","C","2","15.03","16.68","13.35","3.33","55.54","66.59","53.29","12.2","7.15","5.05","63.05","48.7","28.54","6.73","5.28","1.45","56.04","26.87","21.08","--","1.02","-1.02","--","--","4.07","0.59","0.29","0.3","67.05","2.36","1.16","--","--","--","--","--","--","80.68","--","85.73","4.84","95.94","-4.84","-10.21","80.68","100.78","-20.1"
"Jake Gardiner","17-18","TOR","D","7","143.25","130.51","122.43","8.08","51.6","54.66","51.28","101.21","96.25","4.96","51.26","42.39","40.31","68.58","70.55","-1.97","49.29","28.72","29.55","4.53","10.51","-5.98","30.12","1.9","4.4","6.44","5.24","1.2","55.14","2.7","2.19","6","10","4","2.51","4.19","6.61","85.1","4.48","89.08","6.36","94.56","-1.89","-5.48","91.71","100.92","-9.21"
"James Van Riemsdyk","17-18","TOR","L","7","81.25","65.57","70.89","-5.32","48.05","48.42","52.35","46.63","61.61","-14.98","43.08","34.43","45.5","34.85","42.92","-8.07","44.81","25.74","31.69","1.86","4.59","-2.73","28.84","1.37","3.39","2.4","3.36","-0.96","41.67","1.77","2.48","6","3","-3","4.43","2.22","5.34","89.31","3.99","92.55","5.15","94.55","-1.16","-2","94.64","99.69","-5.05"
"Kasperi Kapanen","17-18","TOR","R","7","66.55","55.3","59.56","-4.26","48.15","49.86","53.7","40.9","44.4","-3.5","47.95","36.87","40.03","27.27","32.83","-5.56","45.37","24.59","29.6","1.92","5.81","-3.89","24.84","1.73","5.24","2.41","2.18","0.23","52.51","2.17","1.97","2","1","-1","1.8","0.9","7.04","82.3","4.69","86.91","5.89","95.09","-1.2","-8.18","89.34","100.98","-11.64"
"Leo Komarov","17-18","TOR","C","2","13.42","7.91","17.08","-9.17","31.65","35.37","76.36","8.15","13.16","-5.01","38.24","36.44","58.84","1.5","9.65","-8.15","13.45","6.71","43.14","--","0.83","-0.83","--","--","3.71","0.46","0.5","-0.04","47.92","2.06","2.24","--","--","--","--","--","--","91.4","--","93.69","5.64","96.2","-5.64","-2.51","91.4","101.84","-10.45"
"Mitch Marner","17-18","TOR","C","7","101.75","70.06","85.33","-15.27","45.09","41.31","50.32","56.45","68.59","-12.14","45.15","33.29","40.45","41.09","50.06","-8.97","45.08","24.23","29.52","6.3","3.75","2.55","62.69","3.71","2.21","3.18","3.21","-0.03","49.77","1.88","1.89","14","6","-8","8.26","3.54","15.33","92.51","11.16","94.53","5.63","95.32","5.53","-0.79","107.84","100.95","6.89"
"Morgan Rielly","17-18","TOR","D","7","124.55","75.61","128.61","-53","37.02","36.42","61.96","57.72","100.34","-42.62","36.52","27.81","48.34","41.22","67.82","-26.6","37.8","19.86","32.67","7.01","7.24","-0.23","49.19","3.38","3.49","3.67","5.4","-1.73","40.46","1.77","2.6","12","3","-9","5.78","1.45","17.01","89.32","12.14","92.78","6.36","94.62","5.79","-1.83","106.33","100.98","5.35"
"Nazem Kadri","17-18","TOR","C","4","50.22","32.42","35.85","-3.43","47.49","38.73","42.83","26.82","28.7","-1.88","48.31","32.04","34.29","19.06","20.35","-1.29","48.36","22.77","24.31","2.99","2","0.99","59.92","3.57","2.39","1.17","1.33","-0.16","46.8","1.4","1.59","8","6","-2","9.56","7.17","15.69","90.17","11.15","93.03","4.36","95.37","6.79","-2.33","105.86","99.73","6.13"
"Nikita Zaitsev","17-18","TOR","D","7","126.27","110.08","102.23","7.85","51.85","52.31","48.58","87.25","76.87","10.38","53.16","41.46","36.53","57.94","55.82","2.12","50.93","27.53","26.52","2.88","6.99","-4.11","29.18","1.37","3.32","5.66","3.99","1.67","58.65","2.69","1.9","5","10","5","2.38","4.75","4.97","87.48","3.3","90.91","6.49","94.81","-3.19","-3.9","92.45","101.3","-8.85"
"Patrick Marleau","17-18","TOR","C","7","100.03","74.37","84.22","-9.85","46.89","44.61","50.52","61.27","67.37","-6.1","47.63","36.75","40.41","42.32","47.02","-4.7","47.37","25.38","28.2","5.21","5.82","-0.61","47.23","3.13","3.49","3.27","3.68","-0.41","47.05","1.96","2.21","10","3","-7","6","1.8","12.31","87.62","8.5","91.36","5.34","94.54","3.17","-3.18","99.93","99.87","0.06"
"Roman Polak","17-18","TOR","D","7","100.88","81.91","85.78","-3.87","48.85","48.72","51.02","60.7","68.63","-7.93","46.93","36.1","40.82","40.8","52.87","-12.07","43.56","24.27","31.45","4.85","2.66","2.19","64.58","2.88","1.58","2.82","3.33","-0.51","45.85","1.68","1.98","9","6","-3","5.35","3.57","11.89","94.97","7.99","96.12","4.65","95.15","3.34","0.98","106.86","99.79","7.06"
"Ron Hainsey","17-18","TOR","D","7","115.68","77.49","117.3","-39.81","39.78","40.19","60.84","61.3","90.8","-29.5","40.3","31.79","47.1","43.66","66.62","-22.96","39.59","22.65","34.55","5.96","6.17","-0.21","49.13","3.09","3.2","3.88","4.46","-0.58","46.52","2.01","2.31","9","4","-5","4.67","2.07","13.65","90.74","9.72","93.2","6.33","95.09","3.39","-1.88","104.39","101.42","2.97"
"Tomas Plekanec","17-18","TOR","C","7","86.32","52.82","94.64","-41.82","35.82","36.71","65.78","38.67","72.28","-33.61","34.85","26.88","50.24","27.75","56.53","-28.78","32.93","19.29","39.29","4.03","3.8","0.23","51.47","2.8","2.64","2.19","3.06","-0.87","41.71","1.52","2.13","5","--","-5","3.48","--","14.52","93.28","10.42","94.74","5.66","95.77","4.76","-1.02","107.8","101.43","6.37"
"Travis Dermott","17-18","TOR","D","7","88","71.06","63.32","7.74","52.88","48.45","43.17","52.15","54.19","-2.04","49.04","35.56","36.95","33.38","42.15","-8.77","44.19","22.76","28.74","2.15","3.7","-1.55","36.75","1.47","2.52","2.58","2.83","-0.25","47.69","1.76","1.93","7","5","-2","4.77","3.41","6.44","91.22","4.12","93.17","4.95","94.78","-0.82","-1.61","97.66","99.72","-2.06"
"Tyler Bozak","17-18","TOR","C","7","83.7","69.9","66.25","3.65","51.34","50.11","47.49","50.19","58.23","-8.04","46.29","35.98","41.74","36.02","44.49","-8.47","44.74","25.82","31.89","1.86","2.02","-0.16","47.94","1.33","1.45","2.86","3","-0.14","48.81","2.05","2.15","4","2","-2","2.87","1.43","5.16","95.46","3.71","96.53","5.7","94.85","-1.99","1.68","100.62","100.55","0.08"
"William Nylander","17-18","TOR","C","7","93.93","82","79.52","2.48","50.77","52.38","50.8","62.55","58.6","3.95","51.63","39.96","37.43","44.21","46.55","-2.34","48.71","28.24","29.73","4.92","7.21","-2.29","40.56","3.14","4.61","4.05","3.7","0.35","52.26","2.59","2.36","4","8","4","2.56","5.11","11.13","84.51","7.87","87.7","6.47","93.69","1.39","-5.99","95.64","100.16","-4.52"
"Zach Hyman","17-18","TOR","C","7","92.87","79.4","95.45","-16.05","45.41","51.3","61.67","61.14","73.54","-12.4","45.4","39.5","47.51","40.26","54.39","-14.13","42.54","26.01","35.14","3.63","6.27","-2.64","36.67","2.35","4.05","4.23","3.81","0.42","52.61","2.73","2.46","6","11","5","3.88","7.11","9.02","88.47","5.94","91.47","6.92","94.82","-0.98","-3.35","97.49","101.74","-4.25"
