"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","17-18","TOR","D","27","361.32","322.61","305.57","17.04","51.36","53.57","50.74","229.54","235.49","-5.95","49.36","38.12","39.1","166.56","169.69","-3.13","49.53","27.66","28.18","24.74","14.72","10.02","62.7","4.11","2.44","15.23","12.8","2.43","54.33","2.53","2.13","33","22","-11","5.48","3.65","14.85","91.33","10.78","93.75","6.64","94.56","4.14","-0.82","106.18","101.2","4.98"
"Andreas Johnsson","17-18","TOR","L","3","26.08","16.62","12.9","3.72","56.3","38.24","29.68","12.01","10.86","1.15","52.51","27.63","24.98","10.18","8.49","1.69","54.53","23.42","19.53","0.73","0.82","-0.09","47.1","1.68","1.89","0.47","1.03","-0.56","31.33","1.08","2.37","2","3","1","4.6","6.9","7.17","90.34","6.08","92.45","3.91","90.52","2.16","1.93","97.51","94.43","3.08"
"Auston Matthews","17-18","TOR","C","30","467.1","415.69","411.39","4.3","50.26","53.4","52.84","296.2","304.36","-8.16","49.32","38.05","39.1","211.87","227.26","-15.39","48.25","27.22","29.19","30.08","11.19","18.89","72.89","3.86","1.44","21.04","17.95","3.09","53.96","2.7","2.31","23","28","5","2.95","3.6","14.2","95.08","10.16","96.32","7.1","94.1","3.05","2.22","109.27","101.21","8.07"
"Calle Rosen","17-18","TOR","D","1","11.25","6.45","5.25","1.2","55.13","34.4","28","4.64","4.55","0.09","50.49","24.75","24.27","2.67","3.81","-1.14","41.2","14.24","20.32","--","--","--","--","--","--","0.18","0.09","0.09","66.67","0.96","0.48","--","--","--","--","--","--","100","--","100","3.88","98.02","-3.88","1.98","100","101.9","-1.9"
"Connor Brown","17-18","TOR","R","41","471.3","376.23","379.6","-3.37","49.78","47.9","48.33","292.03","286.92","5.11","50.44","37.18","36.53","214.54","211.46","3.08","50.36","27.31","26.92","23.1","22.08","1.02","51.13","2.94","2.81","17.48","17.4","0.08","50.11","2.23","2.22","23","16","-7","2.93","2.04","10.77","89.56","7.91","92.3","5.99","93.94","1.92","-1.63","100.33","99.92","0.4"
"Connor Carrick","17-18","TOR","D","26","368.95","321.2","270.21","50.99","54.31","52.23","43.94","243.47","213.32","30.15","53.3","39.59","34.69","180.66","148.2","32.46","54.94","29.38","24.1","16.73","15.36","1.37","52.13","2.72","2.5","15.13","12.41","2.72","54.94","2.46","2.02","20","19","-1","3.25","3.09","9.26","89.64","6.87","92.8","6.21","94.18","0.66","-1.38","98.9","100.4","-1.5"
"Dominic Moore","17-18","TOR","C","26","220.25","155.46","172.73","-17.27","47.37","42.35","47.05","118.92","137.04","-18.12","46.46","32.4","37.33","86.36","96.4","-10.04","47.25","23.53","26.26","7.02","9.07","-2.05","43.63","1.91","2.47","6.19","7.61","-1.42","44.86","1.69","2.07","11","9","-2","3","2.45","8.13","90.59","5.9","93.38","5.21","94.45","0.7","-1.07","98.72","99.65","-0.93"
"Eric Fehr","17-18","TOR/ S.J","C","8","82.08","65.42","58.08","7.34","52.97","47.82","42.46","47.76","38.77","8.99","55.19","34.91","28.34","30.49","26.44","4.05","53.56","22.29","19.33","2.91","2.21","0.7","56.84","2.13","1.62","2.79","2.33","0.46","54.49","2.04","1.7","2","3","1","1.46","2.19","9.54","91.64","6.09","94.3","5.84","93.99","0.25","0.31","101.19","99.83","1.35"
"Frederik Gauthier","17-18","TOR","C","2","16.02","9.93","18.15","-8.22","35.36","37.19","67.98","7.2","12.4","-5.2","36.73","26.97","46.44","5.66","9.71","-4.05","36.82","21.2","36.37","1.11","--","1.11","100","4.16","--","0.7","0.78","-0.08","47.3","2.62","2.92","--","1","1","--","3.75","19.61","100","15.42","100","9.72","93.71","5.69","6.29","119.61","103.43","16.18"
"Jake Gardiner","17-18","TOR","D","41","790.13","619.08","666.19","-47.11","48.17","47.01","50.59","450.29","506.36","-56.07","47.07","34.19","38.45","330.62","367.57","-36.95","47.35","25.11","27.91","32.58","32.24","0.34","50.26","2.47","2.45","29.52","29.34","0.18","50.15","2.24","2.23","30","33","3","2.28","2.51","9.85","91.23","7.24","93.63","6.56","94.21","0.68","-0.57","101.08","100.76","0.32"
"James Van Riemsdyk","17-18","TOR","L","41","487.15","421.62","381.21","40.41","52.52","51.93","46.95","302.18","293.54","8.64","50.73","37.22","36.15","217.89","221.25","-3.36","49.62","26.84","27.25","24.94","20.16","4.78","55.3","3.07","2.48","20","15.99","4.01","55.57","2.46","1.97","24","17","-7","2.96","2.09","11.45","90.89","8.25","93.13","6.62","94.55","1.63","-1.42","102.33","101.17","1.16"
"Josh Leivo","17-18","TOR","L","10","82.28","53.59","74.27","-20.68","41.91","39.08","54.16","47.63","62.71","-15.08","43.17","34.73","45.73","36.65","40.36","-3.71","47.59","26.73","29.43","1.95","3.95","-2","33.05","1.42","2.88","1.9","3.27","-1.37","36.75","1.39","2.38","6","4","-2","4.38","2.92","5.32","90.21","4.09","93.7","3.99","94.79","0.1","-1.08","95.53","98.77","-3.24"
"Justin Holl","17-18","TOR","D","1","15.93","20.78","10.98","9.8","65.43","78.27","41.36","10.78","9.03","1.75","54.42","40.6","34.01","9.03","7.06","1.97","56.12","34.01","26.59","2.12","--","2.12","100","7.98","--","0.43","1.02","-0.59","29.66","1.62","3.84","--","1","1","--","3.77","23.48","100","19.67","100","3.99","88.7","15.68","11.3","123.48","92.69","30.78"
"Kasperi Kapanen","17-18","TOR","R","19","191.93","130.37","142.93","-12.56","47.7","40.76","44.68","97.11","108.25","-11.14","47.29","30.36","33.84","65.56","80.09","-14.53","45.01","20.49","25.04","1.88","4.84","-2.96","27.98","0.59","1.51","5.54","6.64","-1.1","45.48","1.73","2.08","10","7","-3","3.13","2.19","2.87","93.96","1.94","95.53","5.7","93.87","-3.77","1.66","96.82","99.57","-2.75"
"Leo Komarov","17-18","TOR","C","38","446.57","331.49","398.1","-66.61","45.44","44.54","53.49","249.98","308.12","-58.14","44.79","33.59","41.4","188.28","215.02","-26.74","46.68","25.3","28.89","10.35","22.56","-12.21","31.45","1.39","3.03","15.42","16.25","-0.83","48.69","2.07","2.18","29","22","-7","3.9","2.96","5.5","89.51","4.14","92.68","6.17","94.73","-2.03","-2.05","95.01","100.89","-5.89"
"Martin Marincin","17-18","TOR","D","2","28.37","19.15","25.35","-6.2","43.03","40.5","53.61","12.08","16.66","-4.58","42.03","25.55","35.23","7.14","10.32","-3.18","40.89","15.1","21.83","--","1.83","-1.83","--","--","3.87","0.42","1.14","-0.72","26.92","0.89","2.41","1","3","2","2.11","6.34","--","82.27","--","89.02","3.48","93.16","-3.48","-4.14","82.27","96.63","-14.37"
"Matt Martin","17-18","TOR","L","27","220.42","175.16","174.54","0.62","50.09","47.68","47.51","141.3","136.56","4.74","50.85","38.46","37.17","101.27","101.95","-0.68","49.83","27.57","27.75","10.76","10.32","0.44","51.04","2.93","2.81","7.79","8.16","-0.37","48.84","2.12","2.22","10","14","4","2.72","3.81","10.63","89.88","7.62","92.44","5.51","94.02","2.1","-1.58","100.5","99.54","0.96"
"Mitch Marner","17-18","TOR","C","41","555.78","481.6","457.96","23.64","51.26","51.99","49.44","350.89","356.36","-5.47","49.61","37.88","38.47","261.85","260.86","0.99","50.09","28.27","28.16","22.32","23.04","-0.72","49.21","2.41","2.49","22.66","19.38","3.28","53.9","2.45","2.09","26","28","2","2.81","3.02","8.52","91.17","6.36","93.53","6.46","94.56","-0.1","-1.03","99.69","101.02","-1.33"
"Morgan Rielly","17-18","TOR","D","37","621.77","521.86","532.95","-11.09","49.47","50.36","51.43","397.41","426.9","-29.49","48.21","38.35","41.2","293.05","334.65","-41.6","46.69","28.28","32.29","31.14","27.11","4.03","53.46","3","2.62","23.94","25.2","-1.26","48.72","2.31","2.43","31","29","-2","2.99","2.8","10.63","91.9","7.84","93.65","6.02","94.1","1.81","-0.45","102.53","100.12","2.4"
"Nazem Kadri","17-18","TOR","C","39","525.55","456.42","454.86","1.56","50.09","52.11","51.93","337.49","356.23","-18.74","48.65","38.53","40.67","255.08","260.15","-5.07","49.51","29.12","29.7","18.3","21.76","-3.46","45.68","2.09","2.48","20.18","18.62","1.56","52.01","2.3","2.13","34","33","-1","3.88","3.77","7.17","91.64","5.42","93.89","5.98","94.77","-0.56","-0.88","98.81","100.75","-1.94"
"Nikita Soshnikov","17-18","TOR/ STL","R","10","102.48","58.76","106.15","-47.39","35.63","34.4","62.15","37.48","84.18","-46.7","30.81","21.94","49.29","29.07","58.78","-29.71","33.09","17.02","34.41","2.78","5.78","-3","32.48","1.63","3.38","1.53","6.27","-4.74","19.62","0.9","3.67","5","4","-1","2.93","2.34","9.56","90.17","7.42","93.13","4.08","92.55","3.34","0.58","99.73","96.63","3.1"
"Nikita Zaitsev","17-18","TOR","D","30","559.38","413.47","515.25","-101.78","44.52","44.35","55.27","293.92","399.44","-105.52","42.39","31.53","42.84","214","295.28","-81.28","42.02","22.95","31.67","21.37","25.75","-4.38","45.35","2.29","2.76","19.64","22.8","-3.16","46.28","2.11","2.45","26","19","-7","2.79","2.04","9.99","91.28","7.27","93.55","6.68","94.29","0.59","-0.74","101.27","100.97","0.29"
"Patrick Marleau","17-18","TOR","C","41","562.88","478.58","491.84","-13.26","49.32","51.01","52.43","349.78","383.58","-33.8","47.7","37.28","40.89","269.92","282.32","-12.4","48.88","28.77","30.09","25.21","31.79","-6.58","44.23","2.69","3.39","21.87","22.63","-0.76","49.15","2.33","2.41","31","27","-4","3.3","2.88","9.34","88.74","7.21","91.71","6.25","94.1","0.95","-2.39","98.08","100.35","-2.27"
"Roman Polak","17-18","TOR","D","25","369.6","317.23","321.71","-4.48","49.65","51.5","52.23","234.68","251.81","-17.13","48.24","38.1","40.88","174.32","187.98","-13.66","48.11","28.3","30.52","14.81","14.48","0.33","50.56","2.4","2.35","15.2","13.3","1.9","53.33","2.47","2.16","26","25","-1","4.22","4.06","8.5","92.3","6.31","94.25","6.48","94.72","-0.17","-0.47","100.79","101.2","-0.4"
"Ron Hainsey","17-18","TOR","D","40","680.5","533.81","599.34","-65.53","47.11","47.07","52.84","411.25","469.05","-57.8","46.72","36.26","41.36","306.85","350.17","-43.32","46.7","27.06","30.87","30.28","26.51","3.77","53.32","2.67","2.34","25.86","26.27","-0.41","49.61","2.28","2.32","36","31","-5","3.17","2.73","9.87","92.43","7.36","94.35","6.29","94.4","1.07","-0.05","102.3","100.69","1.61"
"Tomas Plekanec","17-18","MTL/ TOR","C","37","456.87","386.4","373.39","13.01","50.86","50.75","49.04","296.61","286.52","10.09","50.87","38.95","37.63","225.59","208.21","17.38","52","29.63","27.34","12.11","17.63","-5.52","40.72","1.59","2.32","20.01","16.24","3.77","55.2","2.63","2.13","39","19","-20","5.12","2.5","5.37","91.53","4.08","93.85","6.75","94.33","-2.66","-0.49","96.9","101.08","-4.18"
"Travis Dermott","17-18","TOR","D","16","236.9","210.16","160.54","49.62","56.69","53.23","40.66","155.74","121.69","34.05","56.14","39.44","30.82","112.33","90.86","21.47","55.28","28.45","23.01","5.87","3.11","2.76","65.37","1.49","0.79","8.79","8.1","0.69","52.04","2.23","2.05","9","18","9","2.28","4.56","5.23","96.58","3.77","97.44","5.64","93.34","-1.87","4.1","101.8","98.99","2.82"
"Tyler Bozak","17-18","TOR","C","40","511.27","422.22","410.17","12.05","50.72","49.55","48.14","310.37","322.3","-11.93","49.06","36.42","37.82","225.05","247.91","-22.86","47.58","26.41","29.09","23.91","15.38","8.53","60.86","2.81","1.8","19.23","17","2.23","53.08","2.26","2","24","23","-1","2.82","2.7","10.62","93.8","7.7","95.23","6.2","94.73","1.51","0.5","104.42","100.92","3.5"
"William Nylander","17-18","TOR","C","41","573.28","490.43","497.5","-7.07","49.64","51.33","52.07","347.44","406.19","-58.75","46.1","36.36","42.51","247.75","316.95","-69.2","43.87","25.93","33.17","35.4","19.33","16.07","64.68","3.7","2.02","22.95","24.27","-1.32","48.6","2.4","2.54","32","39","7","3.35","4.08","14.29","93.9","10.19","95.24","6.61","94.02","3.58","1.22","108.19","100.63","7.56"
"Zach Hyman","17-18","TOR","C","41","567.5","472.77","498.36","-25.59","48.68","49.98","52.69","349.38","391.1","-41.72","47.18","36.94","41.35","258.24","296.88","-38.64","46.52","27.3","31.39","29.64","18.13","11.51","62.05","3.13","1.92","24.68","23.83","0.85","50.88","2.61","2.52","26","31","5","2.75","3.28","11.48","93.89","8.48","95.36","7.06","93.91","1.42","1.46","105.37","100.97","4.4"
