"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","17-18","TOR","D","48","638.87","549.93","536.62","13.31","50.61","51.65","50.4","402.81","421.02","-18.21","48.89","37.83","39.54","284.2","308.16","-23.96","47.98","26.69","28.94","31.77","26.94","4.83","54.11","2.98","2.53","25.32","24.87","0.45","50.45","2.38","2.34","48","44","-4","4.51","4.13","11.18","91.26","7.89","93.6","6.29","94.09","1.6","-0.49","102.44","100.38","2.06"
"Andreas Johnsson","17-18","TOR","L","9","84.48","85.21","57.42","27.79","59.74","60.52","40.78","68.66","45.27","23.39","60.27","48.76","32.15","49.52","33.85","15.67","59.4","35.17","24.04","2.8","4.59","-1.79","37.89","1.99","3.26","4.02","2.77","1.25","59.2","2.86","1.97","3","4","1","2.13","2.84","5.65","86.44","4.08","89.86","5.85","93.88","-1.78","-4.02","92.09","99.74","-7.64"
"Auston Matthews","17-18","TOR","C","62","951.2","863.02","832.19","30.83","50.91","54.44","52.49","636.78","635.7","1.08","50.04","40.17","40.1","461.27","473.23","-11.96","49.36","29.1","29.85","62.57","30.11","32.46","67.51","3.95","1.9","46.91","41.16","5.75","53.26","2.96","2.6","47","59","12","2.96","3.72","13.56","93.64","9.83","95.26","7.37","93.53","2.46","1.74","107.2","100.89","6.31"
"Calle Rosen","17-18","TOR","D","4","49.22","43.17","29.5","13.67","59.41","52.62","35.96","31.03","26.11","4.92","54.31","37.83","31.83","18.4","21.43","-3.03","46.2","22.43","26.12","0.86","2.46","-1.6","25.9","1.05","3","2.12","2.38","-0.26","47.11","2.58","2.9","5","6","1","6.1","7.31","4.67","88.52","2.77","90.58","6.83","90.88","-4.06","-0.31","93.19","97.72","-4.52"
"Connor Brown","17-18","TOR","R","82","951.05","774.29","774.74","-0.45","49.99","48.85","48.88","588.39","596.3","-7.91","49.67","37.12","37.62","418.11","425.15","-7.04","49.58","26.38","26.82","40.58","40.09","0.49","50.3","2.56","2.53","36.98","37.49","-0.51","49.66","2.33","2.37","54","44","-10","3.41","2.78","9.71","90.57","6.9","93.28","6.28","93.71","0.61","-0.44","100.28","100","0.28"
"Connor Carrick","17-18","TOR","D","47","680.83","588.65","510.76","77.89","53.54","51.88","45.01","437.25","398.83","38.42","52.3","38.53","35.15","320.63","279.14","41.49","53.46","28.26","24.6","27.51","23.39","4.12","54.05","2.42","2.06","28.26","23.34","4.92","54.77","2.49","2.06","43","36","-7","3.79","3.17","8.58","91.62","6.29","94.14","6.46","94.15","-0.17","-0.01","100.2","100.61","-0.41"
"Dominic Moore","17-18","TOR","C","50","448.22","363.61","351.36","12.25","50.86","48.67","47.03","278.72","284.07","-5.35","49.52","37.31","38.03","203.48","193.45","10.03","51.26","27.24","25.9","17.59","15.36","2.23","53.38","2.35","2.06","16.15","16.7","-0.55","49.16","2.16","2.24","22","23","1","2.94","3.08","8.64","92.06","6.31","94.59","5.79","94.12","0.52","0.47","100.7","99.92","0.79"
"Eric Fehr","17-18","TOR/ S.J","C","18","177.35","149.78","136.92","12.86","52.24","50.67","46.32","109.1","90.83","18.27","54.57","36.91","30.73","73.18","64.58","8.6","53.12","24.76","21.85","8.32","6.35","1.97","56.71","2.81","2.15","6.25","4.6","1.65","57.6","2.11","1.56","5","4","-1","1.69","1.35","11.37","90.17","7.63","93.01","5.73","94.94","1.9","-1.93","101.54","100.66","0.87"
"Frederik Gauthier","17-18","TOR","C","9","65.73","44.99","72.57","-27.58","38.27","41.07","66.24","33.65","59.45","-25.8","36.14","30.72","54.27","27.73","44.35","-16.62","38.47","25.31","40.48","1.11","5.71","-4.6","16.28","1.01","5.21","1.87","4.02","-2.15","31.75","1.71","3.67","3","4","1","2.74","3.65","4","87.13","3.3","90.4","5.56","93.24","-2.26","-2.84","91.13","98.8","-7.67"
"Jake Gardiner","17-18","TOR","D","82","1586.8","1333.25","1319.33","13.92","50.26","50.41","49.89","992.52","1039.61","-47.09","48.84","37.53","39.31","715.17","752.14","-36.97","48.74","27.04","28.44","68.66","55.56","13.1","55.27","2.6","2.1","65.93","62.86","3.07","51.19","2.49","2.38","82","70","-12","3.1","2.65","9.6","92.61","6.92","94.66","6.64","93.95","0.28","0.7","102.21","100.6","1.62"
"James Van Riemsdyk","17-18","TOR","L","81","978.3","891.2","759.31","131.89","54","54.66","46.57","653.96","598.49","55.47","52.21","40.11","36.71","461.12","443.06","18.06","51","28.28","27.17","41.02","36.1","4.92","53.19","2.52","2.21","43.74","34.43","9.31","55.95","2.68","2.11","51","40","-11","3.13","2.45","8.9","91.85","6.27","93.97","6.69","94.25","-0.42","-0.28","100.75","100.94","-0.19"
"Josh Leivo","17-18","TOR","L","16","135.77","100.49","107.78","-7.29","48.25","44.41","47.63","82.44","86.75","-4.31","48.73","36.43","38.34","60.95","57.84","3.11","51.31","26.94","25.56","4.68","3.95","0.73","54.23","2.07","1.75","4.68","4.63","0.05","50.27","2.07","2.05","8","7","-1","3.54","3.09","7.68","93.17","5.68","95.45","5.68","94.66","--","0.78","100.85","100.34","0.51"
"Justin Holl","17-18","TOR","D","2","32.18","47.27","25.61","21.66","64.86","88.14","47.75","34.35","18.96","15.39","64.43","64.05","35.35","27.55","13.8","13.75","66.63","51.37","25.73","4.81","--","4.81","100","8.97","--","1.93","1.41","0.52","57.78","3.6","2.63","--","1","1","--","1.86","17.46","100","14","100","5.62","92.56","8.38","7.44","117.46","98.18","19.28"
"Kasperi Kapanen","17-18","TOR","R","38","380.03","317.51","288.45","29.06","52.4","50.13","45.54","243.94","224.07","19.87","52.12","38.51","35.38","172.99","158.72","14.27","52.15","27.31","25.06","8.59","11.23","-2.64","43.34","1.36","1.77","14.85","13.26","1.59","52.83","2.34","2.09","19","13","-6","3","2.05","4.97","92.92","3.52","94.99","6.09","94.08","-2.57","0.91","97.89","100.17","-2.28"
"Leo Komarov","17-18","TOR","C","74","898.82","718.04","818.98","-100.94","46.72","47.93","54.67","547.57","643.41","-95.84","45.98","36.55","42.95","397.28","430.75","-33.47","47.98","26.52","28.75","24.27","31.7","-7.43","43.36","1.62","2.12","34.2","38.5","-4.3","47.04","2.28","2.57","52","36","-16","3.47","2.4","6.11","92.64","4.43","95.07","6.25","94.02","-1.81","1.06","98.75","100.26","-1.51"
