"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","17-18","TOR","D","21","277.55","227.33","231.05","-3.72","49.59","49.14","49.95","173.27","185.53","-12.26","48.29","37.46","40.11","117.64","138.46","-20.82","45.94","25.43","29.93","7.03","12.22","-5.19","36.52","1.52","2.64","10.09","12.07","-1.98","45.53","2.18","2.61","15","22","7","3.24","4.76","5.98","91.17","4.06","93.41","5.82","93.49","-1.77","-0.08","97.15","99.32","-2.17"
"Andreas Johnsson","17-18","TOR","L","6","58.4","68.59","44.53","24.06","60.63","70.47","45.75","56.65","34.41","22.24","62.21","58.2","35.35","39.34","25.35","13.99","60.81","40.42","26.04","2.08","3.77","-1.69","35.56","2.14","3.87","3.55","1.75","1.8","66.98","3.65","1.8","1","1","--","1.03","1.03","5.29","85.13","3.67","89.04","6.27","94.91","-2.59","-5.87","90.42","101.18","-10.77"
"Auston Matthews","17-18","TOR","C","32","484.1","447.33","420.79","26.54","51.53","55.44","52.15","340.58","331.34","9.24","50.69","42.21","41.07","249.4","245.96","3.44","50.35","30.91","30.48","32.49","18.92","13.57","63.2","4.03","2.34","25.87","23.21","2.66","52.71","3.21","2.88","24","31","7","2.97","3.84","13.03","92.31","9.54","94.29","7.6","93","1.94","1.29","105.33","100.59","4.74"
"Calle Rosen","17-18","TOR","D","3","37.97","36.72","24.26","12.46","60.22","58.02","38.34","26.39","21.56","4.83","55.04","41.7","34.07","15.73","17.62","-1.89","47.17","24.86","27.84","0.86","2.46","-1.6","25.9","1.36","3.89","1.94","2.29","-0.35","45.86","3.07","3.62","5","6","1","7.9","9.48","5.47","86.04","3.26","88.59","7.35","89.38","-4.09","-0.79","91.51","96.73","-5.22"
"Connor Brown","17-18","TOR","R","41","479.75","398.07","395.14","2.93","50.18","49.78","49.42","296.37","309.37","-13","48.93","37.07","38.69","203.57","213.69","-10.12","48.79","25.46","26.73","17.48","18.01","-0.53","49.25","2.19","2.25","19.5","20.09","-0.59","49.25","2.44","2.51","31","28","-3","3.88","3.5","8.59","91.57","5.9","94.18","6.58","93.51","-0.68","0.67","100.16","100.09","0.07"
"Connor Carrick","17-18","TOR","D","21","311.88","267.44","240.55","26.89","52.65","51.45","46.28","193.78","185.51","8.27","51.09","37.28","35.69","139.97","130.94","9.03","51.67","26.93","25.19","10.79","8.03","2.76","57.33","2.08","1.54","13.13","10.94","2.19","54.55","2.53","2.1","23","17","-6","4.42","3.27","7.71","93.87","5.57","95.67","6.78","94.1","-1.21","1.57","101.58","100.88","0.7"
"Dominic Moore","17-18","TOR","C","24","227.97","208.15","178.63","29.52","53.82","54.78","47.01","159.8","147.04","12.76","52.08","42.06","38.7","117.12","97.06","20.06","54.68","30.83","25.55","10.57","6.3","4.27","62.66","2.78","1.66","9.96","9.09","0.87","52.28","2.62","2.39","11","14","3","2.9","3.68","9.02","93.51","6.61","95.72","6.23","93.82","0.38","1.9","102.53","100.05","2.48"
"Eric Fehr","17-18","TOR/ S.J","C","10","95.27","84.35","78.83","5.52","51.69","53.12","49.65","61.34","52.06","9.28","54.09","38.63","32.79","42.69","38.13","4.56","52.82","26.89","24.01","5.41","4.14","1.27","56.65","3.41","2.61","3.46","2.27","1.19","60.38","2.18","1.43","3","1","-2","1.89","0.63","12.67","89.14","8.82","92.05","5.64","95.64","3.18","-3.59","101.82","101.28","0.53"
"Frederik Gauthier","17-18","TOR","C","7","49.72","35.06","54.42","-19.36","39.18","42.31","65.67","26.46","47.05","-20.59","36","31.93","56.78","22.06","34.64","-12.58","38.91","26.62","41.8","--","5.71","-5.71","--","--","6.89","1.17","3.24","-2.07","26.53","1.41","3.91","3","3","--","3.62","3.62","--","83.52","--","87.86","4.42","93.11","-4.42","-5.25","83.52","97.54","-14.02"
"Jake Gardiner","17-18","TOR","D","41","796.67","714.18","653.14","61.04","52.23","53.79","49.19","542.23","533.25","8.98","50.42","40.84","40.16","384.56","384.57","-0.01","50","28.96","28.96","36.07","23.32","12.75","60.73","2.72","1.76","36.41","33.52","2.89","52.07","2.74","2.52","52","37","-15","3.92","2.79","9.38","93.94","6.65","95.63","6.71","93.71","-0.06","1.91","103.32","100.43","2.89"
"James Van Riemsdyk","17-18","TOR","L","40","491.15","469.58","378.1","91.48","55.4","57.36","46.19","351.78","304.96","46.82","53.56","42.97","37.25","243.23","221.81","21.42","52.3","29.71","27.1","16.08","15.94","0.14","50.22","1.96","1.95","23.73","18.44","5.29","56.27","2.9","2.25","27","23","-4","3.3","2.81","6.61","92.81","4.57","94.77","6.75","93.95","-2.17","0.82","99.42","100.7","-1.27"
"Josh Leivo","17-18","TOR","L","6","53.48","46.9","33.5","13.4","58.33","52.62","37.58","34.81","24.04","10.77","59.15","39.05","26.97","24.29","17.48","6.81","58.15","27.25","19.61","2.72","--","2.72","100","3.05","--","2.78","1.36","1.42","67.15","3.12","1.53","2","3","1","2.24","3.37","11.2","100","7.81","100","7.99","94.34","-0.17","5.66","111.2","102.33","8.87"
"Justin Holl","17-18","TOR","D","1","16.25","26.49","14.63","11.86","64.42","97.81","54.02","23.58","9.93","13.65","70.37","87.06","36.66","18.52","6.74","11.78","73.32","68.38","24.89","2.68","--","2.68","100","9.9","--","1.5","0.4","1.1","78.95","5.54","1.48","--","--","--","--","--","14.47","100","11.37","100","6.36","95.97","5","4.03","114.47","102.33","12.14"
"Kasperi Kapanen","17-18","TOR","R","19","188.1","187.15","145.53","41.62","56.26","59.7","46.42","146.83","115.81","31.02","55.91","46.84","36.94","107.44","78.63","28.81","57.74","34.27","25.08","6.72","6.4","0.32","51.22","2.14","2.04","9.31","6.62","2.69","58.44","2.97","2.11","9","6","-3","2.87","1.91","6.25","91.86","4.58","94.47","6.34","94.28","-1.76","0.19","98.12","100.62","-2.51"
"Leo Komarov","17-18","TOR","C","36","452.25","386.55","420.88","-34.33","47.87","51.28","55.84","297.59","335.29","-37.7","47.02","39.48","44.48","209","215.73","-6.73","49.21","27.73","28.62","13.92","9.15","4.77","60.34","1.85","1.21","18.77","22.25","-3.48","45.76","2.49","2.95","23","14","-9","3.05","1.86","6.66","95.76","4.68","97.27","6.31","93.36","-1.63","3.91","102.42","99.67","2.75"
"Matt Martin","17-18","TOR","L","23","169.28","137.83","140.54","-2.71","49.51","48.85","49.81","99.96","115.09","-15.13","46.48","35.43","40.79","76.07","80.07","-4","48.72","26.96","28.38","6.87","8.59","-1.72","44.44","2.44","3.04","6.21","7","-0.79","47.01","2.2","2.48","13","16","3","4.61","5.67","9.03","89.27","6.87","92.54","6.21","93.92","0.66","-1.38","98.3","100.13","-1.83"
"Mitch Marner","17-18","TOR","C","41","559.75","487.94","433.06","54.88","52.98","52.3","46.42","370.6","359.22","11.38","50.78","39.72","38.51","253.67","270.69","-17.02","48.38","27.19","29.02","24.1","18.07","6.03","57.15","2.58","1.94","25.19","21.98","3.21","53.4","2.7","2.36","28","23","-5","3","2.47","9.5","93.32","6.5","94.97","6.8","93.88","-0.29","1.09","102.82","100.68","2.15"
"Morgan Rielly","17-18","TOR","D","39","703.37","672.88","593.08","79.8","53.15","57.4","50.59","508.12","470.91","37.21","51.9","43.34","40.17","356.56","331.63","24.93","51.81","30.42","28.29","28.38","28.21","0.17","50.15","2.42","2.41","36.43","34.08","2.35","51.67","3.11","2.91","24","36","12","2.05","3.07","7.96","91.49","5.59","94.01","7.17","92.76","-1.58","1.25","99.45","99.93","-0.48"
"Nazem Kadri","17-18","TOR","C","41","592.07","533.96","534.14","-0.18","49.99","54.11","54.13","406.19","433.38","-27.19","48.38","41.16","43.92","283","298.24","-15.24","48.69","28.68","30.22","25.15","20.61","4.54","54.96","2.55","2.09","26.49","31.29","-4.8","45.85","2.68","3.17","26","25","-1","2.63","2.53","8.89","93.09","6.19","95.24","6.52","92.78","-0.33","2.46","101.98","99.3","2.67"
