"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Connor Brown","March 4, 2018 - March 4, 2018","TOR","R","1","13.1","8.23","7.98","0.25","50.77","37.69","36.55","7.94","8.07","-0.13","49.59","36.37","36.96","6.03","5.48","0.55","52.39","27.62","25.1","--","--","--","--","--","0.44","0.48","-0.04","47.83","2.02","2.2","--","--","--","--","--","--","100","--","100","5.54","94.05","-5.54","5.95","100","99.59","0.41"
"Connor Carrick","March 4, 2018 - March 4, 2018","TOR","D","2","18.13","11.01","9.25","1.76","54.34","36.44","30.61","10.63","7.29","3.34","59.32","35.18","24.13","10.03","4.07","5.96","71.13","33.19","13.47","--","--","--","--","--","0.62","0.49","0.13","55.86","2.05","1.62","1","1","--","3.31","3.31","--","100","--","100","5.83","93.28","-5.83","6.72","100","99.11","0.89"
"Jake Gardiner","March 4, 2018 - March 4, 2018","TOR","D","2","20.23","20.54","11.2","9.34","64.71","60.92","33.22","17.86","10.06","7.8","63.97","52.97","29.84","14.65","6.08","8.57","70.67","43.45","18.03","0.81","0.96","-0.15","2.4","2.85","0.97","0.72","0.25","57.4","2.88","2.14","--","--","--","--","--","5.53","84.21","4.54","90.46","5.43","92.84","-0.9","-2.39","89.74","98.27","-8.53"
"James Van Riemsdyk","March 4, 2018 - March 4, 2018","TOR","L","1","13.98","11.31","8.32","2.99","57.62","48.54","35.71","9.44","5.16","4.28","64.66","40.52","22.15","7.43","4.12","3.31","64.33","31.89","17.68","--","--","--","--","--","0.54","0.35","0.19","60.67","2.32","1.5","--","--","--","--","--","--","100","--","100","5.72","93.22","-5.72","6.78","100","98.94","1.06"
"Kasperi Kapanen","March 4, 2018 - March 4, 2018","TOR","R","1","14.3","9.15","9.73","-0.58","48.46","38.39","40.83","7.21","6.62","0.59","52.13","30.25","27.78","5.18","5.62","-0.44","47.96","21.73","23.58","--","--","--","--","--","0.48","0.45","0.03","51.61","2.01","1.89","--","--","--","--","--","--","100","--","100","6.66","93.2","-6.66","6.8","100","99.86","0.14"
"Leo Komarov","March 4, 2018 - March 4, 2018","TOR","C","2","10.83","7.59","9.5","-1.91","44.41","42.05","52.63","6.61","7.43","-0.82","47.08","36.62","41.16","6.71","5.81","0.9","53.59","37.17","32.19","0.81","2.08","-1.27","4.49","11.52","0.42","0.6","-0.18","41.18","2.33","3.32","--","--","--","--","--","12.07","64.2","12.25","72.01","6.35","91.92","5.9","-19.92","76.27","98.28","-22.01"
"Matt Martin","March 4, 2018 - March 4, 2018","TOR","L","2","9.83","6.3","7.74","-1.44","44.87","38.45","47.24","5.26","5.65","-0.39","48.21","32.11","34.49","5.34","4.01","1.33","57.11","32.59","24.48","0.81","0.96","-0.15","4.94","5.86","0.38","0.41","-0.03","48.1","2.32","2.5","--","--","--","--","--","15.17","76.06","15.4","83.01","7.22","92.74","8.17","-9.73","91.23","99.97","-8.74"
"Mitch Marner","March 4, 2018 - March 4, 2018","TOR","C","1","15.23","11.52","7.89","3.63","59.35","45.38","31.08","9.97","7.89","2.08","55.82","39.28","31.08","8.71","4.9","3.81","64","34.31","19.3","--","1.82","-1.82","--","7.17","0.71","0.33","0.38","68.27","2.8","1.3","3","3","--","11.82","11.82","--","62.86","--","76.93","7.12","95.82","-7.12","-18.88","62.86","102.94","-40.08"
"Morgan Rielly","March 4, 2018 - March 4, 2018","TOR","D","2","18.1","8.98","14.84","-5.86","37.7","29.77","49.19","8.77","13.85","-5.08","38.77","29.07","45.91","7.64","11.86","-4.22","39.18","25.33","39.31","--","2.93","-2.93","--","9.71","0.49","0.66","-0.17","42.61","1.62","2.19","2","2","--","6.63","6.63","--","75.3","--","78.84","5.59","95.23","-5.59","-16.39","75.3","100.82","-25.53"
"Nazem Kadri","March 4, 2018 - March 4, 2018","TOR","C","1","12.57","9.59","8.88","0.71","51.92","45.78","42.39","8.64","8.88","-0.24","49.32","41.24","42.39","8.02","5.89","2.13","57.66","38.28","28.11","--","2.93","-2.93","--","13.99","0.54","0.43","0.11","55.67","2.58","2.05","3","3","--","14.32","14.32","--","50.25","--","67","6.25","95.16","-6.25","-28.15","50.25","101.41","-51.15"
