"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","xPDO"
"Connor Brown","March 14, 2018 - March 14, 2018","TOR","R","2","9.78","10.54","5.54","5","65.55","64.66","33.99","8.9","0.88","8.02","91","54.6","5.4","6.84","--","6.84","100","41.96","--","0.98","--","0.98","100","6.01","--","0.42","0.01","0.41","97.67","2.58","0.06","--","--","--","--","--","14.33","11.01","100","4.72","98.86","6.29","1.14","103.58"
"Connor Carrick","March 14, 2018 - March 14, 2018","TOR","D","1","8.03","12.55","4.18","8.37","75.01","93.77","31.23","11.71","2.36","9.35","83.23","87.5","17.63","8.58","0.73","7.85","92.16","64.11","5.45","--","--","--","--","--","--","0.5","0.05","0.45","90.91","3.74","0.37","--","--","--","--","--","--","--","100","4.27","97.88","-4.27","2.12","102.15"
"Jake Gardiner","March 14, 2018 - March 14, 2018","TOR","D","1","12.68","11.08","6.74","4.34","62.18","52.43","31.89","9.08","3.87","5.21","70.12","42.97","18.31","6.98","2.92","4.06","70.51","33.03","13.82","0.98","--","0.98","100","4.64","--","0.31","0.14","0.17","68.89","1.47","0.66","2","2","--","9.46","9.46","14.04","10.79","100","3.41","96.38","7.38","3.62","99.8"
"James Van Riemsdyk","March 14, 2018 - March 14, 2018","TOR","L","1","9.83","10.54","7.1","3.44","59.75","64.33","43.34","8.9","2.5","6.4","78.07","54.32","15.26","6.84","1.64","5.2","80.66","41.75","10.01","0.98","--","0.98","100","5.98","--","0.42","0.08","0.34","84","2.56","0.49","--","--","--","--","--","14.33","11.01","100","4.72","96.8","6.29","3.2","101.52"
"Kasperi Kapanen","March 14, 2018 - March 14, 2018","TOR","R","1","6.63","2.91","4.48","-1.57","39.38","26.33","40.54","1.93","2.74","-0.81","41.33","17.47","24.8","1.93","1.84","0.09","51.19","17.47","16.65","--","--","--","--","--","--","0.09","0.25","-0.16","26.47","0.81","2.26","2","1","-1","18.1","9.05","--","--","100","4.66","90.88","-4.66","9.12","95.54"
"Leo Komarov","March 14, 2018 - March 14, 2018","TOR","C","1","4.53","3.66","4.66","-1","43.99","48.48","61.72","3.02","3.16","-0.14","48.87","40","41.85","3.08","2.43","0.65","55.9","40.79","32.19","--","--","--","--","--","--","0.17","0.07","0.1","70.83","2.25","0.93","--","--","--","--","--","--","--","100","5.63","97.78","-5.63","2.22","103.41"
"Matt Martin","March 14, 2018 - March 14, 2018","TOR","L","1","5.5","5.8","3.56","2.24","61.97","63.27","38.84","5.7","2.74","2.96","67.54","62.18","29.89","4.52","1.84","2.68","71.07","49.31","20.07","--","--","--","--","--","--","0.15","0.25","-0.1","37.5","1.64","2.73","1","1","--","10.91","10.91","--","--","100","2.63","90.88","-2.63","9.12","93.51"
"Mitch Marner","March 14, 2018 - March 14, 2018","TOR","C","2","10.48","14.72","6.48","8.24","69.43","84.27","37.1","12.94","3.16","9.78","80.37","74.08","18.09","11.86","2.43","9.43","83","67.9","13.91","--","--","--","--","--","--","0.66","0.07","0.59","90.41","3.78","0.4","1","--","-1","5.73","--","--","--","100","5.1","97.78","-5.1","2.22","102.89"
"Morgan Rielly","March 14, 2018 - March 14, 2018","TOR","D","2","11.92","13.29","14.16","-0.87","48.42","66.9","71.28","12.82","9.11","3.71","58.46","64.53","45.86","12.21","9.17","3.04","57.11","61.46","46.16","0.98","--","0.98","100","4.93","--","1.16","0.41","0.75","73.89","5.84","2.06","--","--","--","--","--","8.03","7.64","100","9.05","95.5","-1.4","4.5","104.55"
"Nazem Kadri","March 14, 2018 - March 14, 2018","TOR","C","2","9.67","11.76","9.11","2.65","56.35","72.97","56.53","10.97","4.96","6.01","68.86","68.07","30.78","9.88","3.34","6.54","74.74","61.3","20.72","--","--","--","--","--","--","0.49","0.27","0.22","64.47","3.04","1.68","--","--","--","--","--","--","--","100","4.47","94.56","-4.47","5.44","99.02"
"Patrick Marleau","March 14, 2018 - March 14, 2018","TOR","C","2","10.63","11.89","11.47","0.42","50.9","67.11","64.74","11.96","8.74","3.22","57.78","67.51","49.33","9.32","7.81","1.51","54.41","52.61","44.08","--","--","--","--","--","--","1.08","0.4","0.68","72.97","6.1","2.26","--","1","1","--","5.64","--","--","100","9.03","95.42","-9.03","4.58","104.45"
"Roman Polak","March 14, 2018 - March 14, 2018","TOR","D","1","12.5","10.21","8.44","1.77","54.75","49.01","40.51","8.19","4.72","3.47","63.44","39.31","22.66","6.09","2.88","3.21","67.89","29.23","13.82","--","--","--","--","--","--","0.24","0.28","-0.04","46.15","1.15","1.34","2","2","--","9.6","9.6","--","--","100","2.93","94.07","-2.93","5.93","97"
"Ron Hainsey","March 14, 2018 - March 14, 2018","TOR","D","1","12.35","11.2","16.79","-5.59","40.01","54.41","81.57","10.75","10.91","-0.16","49.63","52.23","53","10.16","10.07","0.09","50.22","49.36","48.92","--","--","--","--","--","--","1.06","0.61","0.45","63.47","5.15","2.96","--","--","--","--","--","--","--","100","9.86","94.41","-9.86","5.59","104.27"
"Tomas Plekanec","March 14, 2018 - March 14, 2018","TOR","C","2","4.43","2.91","0.93","1.98","75.78","39.41","12.6","1.93","0.94","0.99","67.25","26.14","12.73","1.93","0.94","0.99","67.25","26.14","12.73","--","--","--","--","--","--","0.09","0.06","0.03","60","1.22","0.81","2","1","-1","27.09","13.54","--","--","100","4.66","93.62","-4.66","6.38","98.28"
"Travis Dermott","March 14, 2018 - March 14, 2018","TOR","D","1","9.2","11.34","5.11","6.23","68.94","73.96","33.33","10.52","3.3","7.22","76.12","68.61","21.52","7.42","1.67","5.75","81.63","48.39","10.89","--","--","--","--","--","--","0.47","0.11","0.36","81.03","3.07","0.72","--","--","--","--","--","--","--","100","4.47","96.67","-4.47","3.33","101.13"
"Tyler Bozak","March 14, 2018 - March 14, 2018","TOR","C","2","9.92","10.54","5.54","5","65.55","63.75","33.51","8.9","0.88","8.02","91","53.83","5.32","6.84","--","6.84","100","41.37","--","0.98","--","0.98","100","5.93","--","0.42","0.01","0.41","97.67","2.54","0.06","--","--","--","--","--","14.33","11.01","100","4.72","98.86","6.29","1.14","103.58"
"William Nylander","March 14, 2018 - March 14, 2018","TOR","C","2","9.72","10.62","12.13","-1.51","46.68","65.56","74.88","10.72","10.36","0.36","50.85","66.17","63.95","8.07","9.45","-1.38","46.06","49.81","58.33","--","--","--","--","--","--","0.89","0.47","0.42","65.44","5.49","2.9","--","1","1","--","6.17","--","--","100","8.3","95.46","-8.3","4.54","103.77"
"Zach Hyman","March 14, 2018 - March 14, 2018","TOR","C","1","8.93","8.63","12.13","-3.5","41.57","57.98","81.5","8.73","10.36","-1.63","45.73","58.66","69.61","6.08","9.45","-3.37","39.15","40.85","63.49","--","--","--","--","--","--","0.72","0.47","0.25","60.5","4.84","3.16","--","1","1","--","6.72","--","--","100","8.25","95.46","-8.25","4.54","103.71"
