"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","FSh%","xFSh%","dFSh%"
"Andreas Johnsson","March 29, 2018 - March 29, 2018","TOR","L","2","5.45","1.86","0.81","1.05","69.66","20.48","8.92","0.94","--","0.94","100","10.35","--","0.94","--","0.94","100","10.35","--","--","--","--","--","--","0.02","--","0.02","100","0.22","--","1","--","-1","11.01","--","--","--","2.13","-2.13"
"Auston Matthews","March 29, 2018 - March 29, 2018","TOR","C","2","15.35","20.38","7.87","12.51","72.14","79.66","30.76","13.16","6.11","7.05","68.29","51.44","23.88","10.01","6.13","3.88","62.02","39.13","23.96","1.77","--","1.77","6.92","--","0.68","0.18","0.5","79.07","2.66","0.7","--","--","--","--","--","17.68","13.45","5.17","8.28"
"Connor Brown","March 29, 2018 - March 29, 2018","TOR","R","2","12.85","9.61","10.22","-0.61","48.46","44.87","47.72","8.08","8.23","-0.15","49.54","37.73","38.43","5.1","2.69","2.41","65.47","23.81","12.56","1.11","--","1.11","5.18","--","0.66","0.36","0.3","64.71","3.08","1.68","--","--","--","--","--","21.76","13.74","8.17","5.57"
"Connor Carrick","March 29, 2018 - March 29, 2018","TOR","D","1","14.07","15.61","5.99","9.62","72.27","66.57","25.54","10.25","6.1","4.15","62.69","43.71","26.01","6.23","2.7","3.53","69.76","26.57","11.51","--","1.14","-1.14","--","4.86","0.47","0.48","-0.01","49.47","2","2.05","--","--","--","--","--","--","--","4.59","-4.59"
"Dominic Moore","March 29, 2018 - March 29, 2018","TOR","C","1","4.73","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","1","1","--","12.68","12.68","--","--","--","--"
"Jake Gardiner","March 29, 2018 - March 29, 2018","TOR","D","2","21.45","15.27","12.82","2.45","54.36","42.71","35.86","10.08","10.11","-0.03","49.93","28.2","28.28","6.82","5.66","1.16","54.65","19.08","15.83","1.66","--","1.66","4.64","--","0.48","0.57","-0.09","45.71","1.34","1.59","1","--","-1","2.8","--","24.34","16.47","4.76","11.71"
"James Van Riemsdyk","March 29, 2018 - March 29, 2018","TOR","L","2","13.62","10.99","11.13","-0.14","49.68","48.41","49.03","7.95","9.09","-1.14","46.65","35.02","40.04","5.1","3.65","1.45","58.29","22.47","16.08","1.11","--","1.11","4.89","--","0.66","0.43","0.23","60.55","2.91","1.89","--","1","1","--","4.41","21.76","13.96","8.3","5.66"
"Kasperi Kapanen","March 29, 2018 - March 29, 2018","TOR","R","2","6.85","3.77","2.22","1.55","62.94","33.02","19.45","1.91","1.46","0.45","56.68","16.73","12.79","0.94","0.71","0.23","56.97","8.23","6.22","--","--","--","--","--","0.03","0.13","-0.1","18.75","0.26","1.14","1","--","-1","8.76","--","--","--","1.57","-1.57"
"Mitch Marner","March 29, 2018 - March 29, 2018","TOR","C","2","16.17","15.89","16.08","-0.19","49.7","58.96","59.67","10.67","14.59","-3.92","42.24","39.59","54.14","6.85","11.63","-4.78","37.07","25.42","43.15","0.85","1.14","-0.29","3.15","4.23","0.44","1.12","-0.68","28.21","1.63","4.16","1","1","--","3.71","3.71","12.41","7.97","4.12","3.84"
"Morgan Rielly","March 29, 2018 - March 29, 2018","TOR","D","2","18.52","18.34","14.25","4.09","56.27","59.42","46.17","12.17","12.53","-0.36","49.27","39.43","40.59","9.6","12.59","-2.99","43.26","31.1","40.79","1.11","--","1.11","3.6","--","0.66","0.71","-0.05","48.18","2.14","2.3","1","1","--","3.24","3.24","11.56","9.12","5.42","3.7"
