"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","xPDO"
"Andreas Borgman","November 19, 2017 - November 19, 2017","TOR","D","2","13.13","2.71","12.93","-10.22","17.33","12.38","59.09","0.96","12.14","-11.18","7.33","4.39","55.48","--","8.72","-8.72","--","--","39.85","--","--","--","--","--","0.09","0.32","-0.23","21.95","0.41","1.46","--","--","--","--","--","100","--","100","9.38","97.36","-9.38","2.64","106.74"
"Auston Matthews","November 19, 2017 - November 19, 2017","TOR","C","2","17.12","15.14","9.2","5.94","62.2","53.06","32.24","12.85","6.74","6.11","65.59","45.04","23.62","7.48","6.19","1.29","54.72","26.21","21.69","--","--","--","--","--","0.74","0.28","0.46","72.55","2.59","0.98","1","--","-1","3.5","--","100","--","100","5.76","95.85","-5.76","4.15","101.6"
"Connor Brown","November 19, 2017 - November 19, 2017","TOR","R","2","10.87","4.86","6.59","-1.73","42.45","26.83","36.38","3.97","6.09","-2.12","39.46","21.91","33.62","1.92","4.24","-2.32","31.17","10.6","23.4","--","--","--","--","--","0.09","0.21","-0.12","30","0.5","1.16","--","--","--","--","--","100","--","100","2.27","96.55","-2.27","3.45","98.82"
"Connor Carrick","November 19, 2017 - November 19, 2017","TOR","D","3","14.85","7.43","10.31","-2.88","41.88","30.02","41.66","4.75","10.46","-5.71","31.23","19.19","42.26","3.12","7.74","-4.62","28.73","12.61","31.27","--","--","--","--","--","0.25","0.24","0.01","51.02","1.01","0.97","1","--","-1","4.04","--","100","--","100","5.26","97.71","-5.26","2.29","102.97"
"Dominic Moore","November 19, 2017 - November 19, 2017","TOR","C","1","7.57","5.64","3.66","1.98","60.65","44.7","29.01","3.75","3.16","0.59","54.27","29.72","25.05","1.77","2.26","-0.49","43.92","14.03","17.91","--","--","--","--","--","0.18","0.14","0.04","56.25","1.43","1.11","--","--","--","--","--","100","--","100","4.8","95.57","-4.8","4.43","100.37"
"Jake Gardiner","November 19, 2017 - November 19, 2017","TOR","D","3","21.63","21.19","10.84","10.35","66.16","58.78","30.07","15.29","7.87","7.42","66.02","42.41","21.83","7.16","5.65","1.51","55.89","19.86","15.67","--","--","--","--","--","0.75","0.44","0.31","63.03","2.08","1.22","3","--","-3","8.32","--","100","--","100","4.91","94.41","-4.91","5.59","99.31"
"James Van Riemsdyk","November 19, 2017 - November 19, 2017","TOR","L","2","13.85","11.53","10.58","0.95","52.15","49.95","45.83","8.91","8.86","0.05","50.14","38.6","38.38","6.28","7.06","-0.78","47.08","27.21","30.58","--","--","--","--","--","0.39","0.21","0.18","65","1.69","0.91","2","--","-2","8.66","--","100","--","100","4.38","97.63","-4.38","2.37","102.01"
"Leo Komarov","November 19, 2017 - November 19, 2017","TOR","C","1","11.27","14.18","4.7","9.48","75.11","75.49","25.02","10.08","3.76","6.32","72.83","53.66","20.02","4.53","2.09","2.44","68.43","24.12","11.13","--","--","--","--","--","0.66","0.19","0.47","77.65","3.51","1.01","--","1","1","--","5.32","100","--","100","6.55","94.95","-6.55","5.05","101.49"
"Matt Martin","November 19, 2017 - November 19, 2017","TOR","L","1","7.25","4.67","4.35","0.32","51.77","38.65","36","2.77","3.87","-1.1","41.72","22.92","32.03","1.77","3","-1.23","37.11","14.65","24.83","--","--","--","--","--","0.1","0.15","-0.05","40","0.83","1.24","--","--","--","--","--","100","--","100","3.61","96.12","-3.61","3.88","99.73"
"Mitch Marner","November 19, 2017 - November 19, 2017","TOR","C","2","14.98","15.55","12.23","3.32","55.98","62.28","48.99","11.59","9.53","2.06","54.88","46.42","38.17","7.56","8.74","-1.18","46.38","30.28","35.01","--","--","--","--","--","0.61","0.25","0.36","70.93","2.44","1","2","--","-2","8.01","--","100","--","100","5.26","97.38","-5.26","2.62","102.64"
"Morgan Rielly","November 19, 2017 - November 19, 2017","TOR","D","2","18.07","19.86","7.67","12.19","72.14","65.94","25.47","12.78","4.9","7.88","72.29","42.43","16.27","8.95","4.94","4.01","64.43","29.72","16.4","--","--","--","--","--","0.86","0.15","0.71","85.15","2.86","0.5","--","1","1","--","3.32","100","--","100","6.73","96.94","-6.73","3.06","103.67"
