"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 18, 2017 - December 18, 2017","TOR","D","2","16.4","22.62","9.36","13.26","70.73","82.76","34.24","21.03","7.35","13.68","74.1","76.94","26.89","14.58","5.04","9.54","74.31","53.34","18.44","2.16","--","2.16","100","7.9","--","1.5","0.35","1.15","81.08","5.49","1.28","--","--","--","--","--","14.81","100","10.27","100","7.13","95.24","3.14","4.76","114.81","102.37","12.44"
"Connor Brown","December 18, 2017 - December 18, 2017","TOR","R","2","13.88","10.18","19.82","-9.64","33.93","44.01","85.68","5.18","14.28","-9.1","26.62","22.39","61.73","3.17","8.45","-5.28","27.28","13.7","36.53","--","--","--","--","--","--","0.26","1.04","-0.78","20","1.12","4.5","2","1","-1","8.65","4.32","--","100","--","100","5.02","92.72","-5.02","7.28","100","97.74","2.26"
"Connor Carrick","December 18, 2017 - December 18, 2017","TOR","D","2","16.25","19.06","10.98","8.08","63.45","70.38","40.54","16.64","6.59","10.05","71.63","61.44","24.33","10.89","4.02","6.87","73.04","40.21","14.84","3.03","--","3.03","100","11.19","--","1.52","0.51","1.01","74.88","5.61","1.88","2","2","--","7.38","7.38","27.82","100","18.21","100","9.13","92.26","9.07","7.74","127.82","101.4","26.43"
"Dominic Moore","December 18, 2017 - December 18, 2017","TOR","C","2","9.33","9.56","7.49","2.07","56.07","61.48","48.17","8.15","7.18","0.97","53.16","52.41","46.17","7.26","4.78","2.48","60.3","46.69","30.74","1.17","--","1.17","100","7.52","--","0.47","0.41","0.06","53.41","3.02","2.64","--","1","1","--","6.43","16.12","100","14.36","100","5.77","94.29","8.59","5.71","116.12","100.06","16.06"
"Jake Gardiner","December 18, 2017 - December 18, 2017","TOR","D","2","18.5","19.94","16.7","3.24","54.42","64.67","54.16","17.34","13.06","4.28","57.04","56.24","42.36","11.92","9.26","2.66","56.28","38.66","30.03","1.9","--","1.9","100","6.16","--","1.08","0.79","0.29","57.75","3.5","2.56","4","5","1","12.97","16.22","15.94","100","10.96","100","6.23","93.95","4.73","6.05","115.94","100.18","15.76"
"James Van Riemsdyk","December 18, 2017 - December 18, 2017","TOR","L","1","10.22","12.03","5.52","6.51","68.55","70.63","32.41","11.96","3.83","8.13","75.74","70.22","22.49","10.24","3.09","7.15","76.82","60.12","18.14","0.86","--","0.86","100","5.05","--","0.76","0.16","0.6","82.61","4.46","0.94","2","--","-2","11.74","--","8.4","100","7.19","100","6.35","95.82","0.84","4.18","108.4","102.18","6.22"
"Kasperi Kapanen","December 18, 2017 - December 18, 2017","TOR","R","1","9.07","9.54","5.96","3.58","61.55","63.11","39.43","9.26","5.5","3.76","62.74","61.26","36.38","8.37","3.1","5.27","72.97","55.37","20.51","1.17","--","1.17","100","7.74","--","0.44","0.28","0.16","61.11","2.91","1.85","--","1","1","--","6.62","13.98","100","12.63","100","4.75","94.91","7.88","5.09","113.98","99.66","14.32"
"Leo Komarov","December 18, 2017 - December 18, 2017","TOR","C","1","12.93","9.16","19.2","-10.04","32.3","42.51","89.1","4.17","11.8","-7.63","26.11","19.35","54.76","2.15","5.96","-3.81","26.51","9.98","27.66","--","--","--","--","--","--","0.22","0.83","-0.61","20.95","1.02","3.85","2","1","-1","9.28","4.64","--","100","--","100","5.28","92.97","-5.28","7.03","100","98.24","1.76"
"Matt Martin","December 18, 2017 - December 18, 2017","TOR","L","1","9.75","8.42","8.27","0.15","50.45","51.82","50.89","8.15","6.6","1.55","55.25","50.15","40.62","7.26","3.62","3.64","66.73","44.68","22.28","1.17","--","1.17","100","7.2","--","0.47","0.32","0.15","59.49","2.89","1.97","1","3","2","6.15","18.46","16.12","100","14.36","100","5.77","95.15","8.59","4.85","116.12","100.92","15.2"
"Mitch Marner","December 18, 2017 - December 18, 2017","TOR","C","1","10.32","15.58","6.68","8.9","69.99","90.58","38.84","15.42","4.22","11.2","78.51","89.65","24.53","13.7","3.7","10","78.74","79.65","21.51","1.86","--","1.86","100","10.81","--","1.41","0.21","1.2","87.04","8.2","1.22","2","--","-2","11.63","--","13.58","100","12.06","100","9.14","95.02","2.92","4.98","113.58","104.17","9.41"
"Morgan Rielly","December 18, 2017 - December 18, 2017","TOR","D","2","17.7","14.57","22.64","-8.07","39.16","49.39","76.75","9.54","15.75","-6.21","37.72","32.34","53.39","7.54","9.87","-2.33","43.31","25.56","33.46","--","0.82","-0.82","--","--","2.78","0.55","1.17","-0.62","31.98","1.86","3.97","1","--","-1","3.39","--","--","91.69","--","94.79","5.77","92.57","-5.77","2.22","91.69","98.34","-6.64"
"Nazem Kadri","December 18, 2017 - December 18, 2017","TOR","C","2","14.73","11.21","22.89","-11.68","32.87","45.66","93.24","6.21","14.92","-8.71","29.39","25.3","60.77","4.19","9.11","-4.92","31.5","17.07","37.11","--","--","--","--","--","--","0.31","1.07","-0.76","22.46","1.26","4.36","3","3","--","12.22","12.22","--","100","--","100","4.99","92.83","-4.99","7.17","100","97.82","2.18"
"Patrick Marleau","December 18, 2017 - December 18, 2017","TOR","C","2","14.63","18.39","11.05","7.34","62.47","75.42","45.32","14.67","8.04","6.63","64.6","60.16","32.97","6.85","6.38","0.47","51.78","28.09","26.17","2.03","0.82","1.21","71.23","8.33","3.36","1.31","0.59","0.72","68.95","5.37","2.42","--","1","1","--","4.1","29.64","87.15","13.84","89.8","8.93","92.66","4.91","-2.86","116.78","101.59","15.19"
"Roman Polak","December 18, 2017 - December 18, 2017","TOR","D","1","15.1","17.11","11.27","5.84","60.29","67.99","44.78","15.56","8.79","6.77","63.9","61.83","34.93","11.27","6.82","4.45","62.3","44.78","27.1","1.03","--","1.03","100","4.09","--","0.88","0.37","0.51","70.4","3.5","1.47","2","3","1","7.95","11.92","9.14","100","6.62","100","5.66","95.79","0.96","4.21","109.14","101.45","7.69"
"Ron Hainsey","December 18, 2017 - December 18, 2017","TOR","D","2","14.6","9.12","22.79","-13.67","28.58","37.48","93.66","4.14","14.82","-10.68","21.84","17.01","60.9","3.17","8.94","-5.77","26.18","13.03","36.74","--","0.82","-0.82","--","--","3.37","0.24","1.06","-0.82","18.46","0.99","4.36","1","--","-1","4.11","--","--","90.83","--","94.47","5.8","92.85","-5.8","1.62","90.83","98.64","-7.82"
"Tyler Bozak","December 18, 2017 - December 18, 2017","TOR","C","1","10.63","14.41","6.62","7.79","68.52","81.34","37.37","14.27","5.02","9.25","73.98","80.55","28.33","12.55","3.7","8.85","77.23","70.84","20.88","1.86","--","1.86","100","10.5","--","1.36","0.23","1.13","85.53","7.68","1.3","2","--","-2","11.29","--","14.82","100","13.03","100","9.53","95.42","3.5","4.58","114.82","104.95","9.87"
"William Nylander","December 18, 2017 - December 18, 2017","TOR","C","2","15.92","18.12","12.95","5.17","58.32","68.29","48.81","15.56","8.67","6.89","64.22","58.64","32.68","7.74","7.03","0.71","52.4","29.17","26.49","1.03","0.82","0.21","55.68","3.88","3.09","1.03","0.62","0.41","62.42","3.88","2.34","1","3","2","3.77","11.31","13.31","88.34","6.62","90.54","6.62","92.85","--","-2.31","101.64","99.47","2.17"
"Zach Hyman","December 18, 2017 - December 18, 2017","TOR","C","2","14.78","17.06","12.06","5","58.59","69.26","48.96","13.38","7.33","6.05","64.61","54.32","29.76","5.57","4.86","0.71","53.4","22.61","19.73","1.03","0.82","0.21","55.68","4.18","3.33","0.61","0.56","0.05","52.14","2.48","2.27","--","1","1","--","4.06","18.49","83.13","7.7","88.81","4.56","92.36","3.14","-3.55","101.62","96.92","4.7"
