"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Ron Hainsey","D","80","518.26666666667","421","627","40.17","327","467","41.18","244","338","41.92","28","30","48.28","207","307","40.27","73","127","36.50","11","20","35.48","11.48","91.12","1.026","120","247","244","32.97"
"Jake Gardiner","D","82","554.55","489","616","44.25","363","466","43.79","273","334","44.98","30","22","57.69","252","278","47.55","92","101","47.67","13","11","54.17","10.99","93.41","1.044","173","215","194","47.14"
"Morgan Rielly","D","76","469.85","434","548","44.20","339","417","44.84","246","306","44.57","21","31","40.38","214","288","42.63","70","118","37.23","7","22","24.14","8.54","89.87","0.984","127","204","209","37.80"
"Zach Hyman","C","82","436.96666666667","392","547","41.75","300","417","41.84","224","315","41.56","31","19","62.00","206","268","43.46","68","103","39.77","15","12","55.56","13.84","93.97","1.078","118","175","181","39.46"
"Nazem Kadri","C","80","443.55","420","518","44.78","315","393","44.49","244","282","46.39","27","22","55.10","219","235","48.24","76","105","41.99","11","15","42.31","11.07","92.20","1.033","90","186","197","31.36"
"Nikita Zaitsev","D","60","427.4","372","497","42.81","265","383","40.90","194","276","41.28","24","22","52.17","188","231","44.87","68","88","43.59","9","11","45.00","12.37","92.03","1.044","117","168","161","42.09"
"William Nylander","C","82","407.56666666667","386","481","44.52","295","380","43.70","220","288","43.31","34","21","61.82","214","247","46.42","70","93","42.94","16","12","57.14","15.45","92.71","1.082","123","145","167","42.41"
"Patrick Marleau","C","82","440.41666666667","420","480","46.67","325","369","46.83","239","264","47.51","29","22","56.86","221","230","49.00","88","102","46.32","14","17","45.16","12.13","91.67","1.038","101","176","188","34.95"
"Connor Brown","R","82","365.78333333333","316","443","41.63","236","319","42.52","162","228","41.54","11","19","36.67","149","206","41.97","64","84","43.24","4","13","23.53","6.79","91.67","0.985","121","138","115","51.27"
"Auston Matthews","C","62","348.88333333333","318","422","42.97","235","308","43.28","177","227","43.81","28","18","60.87","182","221","45.16","58","82","41.43","16","12","57.14","15.82","92.07","1.079","114","127","140","44.88"
