"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Jake Gardiner","D","82","1646.45","1645","1600","50.69","1203","1233","49.38","852","879","49.22","79","67","54.11","873","737","54.22","336","279","54.63","45","32","58.44","9.27","92.38","1.017","559","583","561","49.91"
"Ron Hainsey","D","80","1416.4166666667","1330","1501","46.98","999","1161","46.25","715","830","46.28","73","63","53.68","681","721","48.57","276","304","47.59","40","37","51.95","10.21","92.41","1.026","400","610","591","40.36"
"Morgan Rielly","D","76","1386.6833333333","1478","1387","51.59","1101","1082","50.44","775","794","49.39","67","70","48.91","765","697","52.33","287","289","49.83","34","39","46.58","8.65","91.18","0.998","486","559","529","47.88"
"Nazem Kadri","C","80","1172.6833333333","1189","1234","49.07","878","963","47.69","621","676","47.88","55","50","52.38","601","568","51.41","218","248","46.78","25","29","46.30","8.86","92.60","1.015","342","472","487","41.25"
"Zach Hyman","C","82","1191.1166666667","1215","1223","49.84","888","935","48.71","634","696","47.67","70","50","58.33","666","589","53.07","255","233","52.25","39","28","58.21","11.04","92.82","1.039","377","451","408","48.03"
"Patrick Marleau","C","82","1196.6333333333","1183","1209","49.46","883","953","48.09","630","684","47.95","63","62","50.40","590","578","50.51","231","245","48.53","31","36","46.27","10.00","90.94","1.009","374","465","471","44.26"
"William Nylander","C","82","1200.4166666667","1274","1204","51.41","909","945","49.03","648","713","47.61","75","54","58.14","717","584","55.11","261","233","52.83","40","29","57.97","11.57","92.43","1.040","405","428","408","49.82"
"Nikita Zaitsev","D","60","1142.25","1066","1178","47.50","768","914","45.66","538","653","45.17","59","51","53.64","559","529","51.38","221","203","52.12","33","26","55.93","10.97","92.19","1.032","348","420","415","45.61"
"Mitchell Marner","C","82","1159.55","1209","1073","52.98","882","846","51.04","615","623","49.68","54","51","51.43","620","480","56.36","227","194","53.92","35","32","52.24","8.78","91.81","1.006","455","396","354","56.24"
"Tyler Bozak","C","81","1088.55","1170","1026","53.28","854","799","51.66","596","580","50.68","49","40","55.06","589","449","56.74","236","160","59.60","29","22","56.86","8.22","93.10","1.013","468","329","350","57.21"
"Auston Matthews","C","62","988.73333333333","1050","1015","50.85","759","762","49.90","544","562","49.19","67","42","61.47","621","511","54.86","238","194","55.09","41","22","65.08","12.32","92.53","1.048","346","350","335","50.81"
"Leo Komarov","C","74","924.48333333333","818","1008","44.80","616","772","44.38","443","516","46.19","33","35","48.53","400","453","46.89","158","173","47.73","11","16","40.74","7.45","93.22","1.007","206","406","407","33.61"
"Connor Brown","R","82","983.75","930","963","49.13","692","727","48.77","487","508","48.94","47","47","50.00","469","451","50.98","201","177","53.17","26","24","52.00","9.65","90.75","1.004","340","353","303","52.88"
"James van Riemsdyk","L","81","1019.7666666667","1139","907","55.67","816","699","53.86","563","503","52.81","49","43","53.26","583","399","59.37","233","158","59.59","32","26","55.17","8.70","91.45","1.002","466","319","277","62.72"
"Roman Polak","D","54","814.43333333333","792","863","47.85","593","669","46.99","422","484","46.58","34","33","50.75","396","391","50.32","148","142","51.03","17","17","50.00","8.06","93.18","1.012","180","286","271","39.91"
"Andreas Borgman","D","48","646.36666666667","634","626","50.32","454","482","48.50","314","351","47.22","33","29","53.23","309","272","53.18","114","100","53.27","16","15","51.61","10.51","91.74","1.022","204","209","160","56.04"
"Connor Carrick","D","47","694.41666666667","675","608","52.61","492","465","51.41","355","323","52.36","31","26","54.39","336","261","56.28","127","107","54.27","21","20","51.22","8.73","91.95","1.007","258","231","181","58.77"
"Travis Dermott","D","37","572.71666666667","613","502","54.98","454","382","54.31","330","271","54.91","29","13","69.05","324","228","58.70","120","91","56.87","19","9","67.86","8.79","95.20","1.040","186","190","174","51.67"
"Dominic Moore","C","50","449.7","400","412","49.26","304","326","48.25","221","220","50.11","18","16","52.94","182","193","48.53","66","72","47.83","9","6","60.00","8.14","92.73","1.009","66","191","111","37.29"
