"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Jake Gardiner","D","82","1139.75","1114","1106","50.18","810","860","48.50","560","607","47.99","52","44","54.17","584","515","53.14","221","193","53.38","35","21","62.50","9.29","92.75","1.020","377","399","415","47.60"
"Ron Hainsey","D","80","1001.3","928","1061","46.66","690","826","45.51","478","591","44.71","46","38","54.76","478","509","48.43","198","222","47.14","29","22","56.86","9.62","93.57","1.032","287","413","402","41.65"
"Morgan Rielly","D","76","947.65","1011","960","51.29","738","753","49.50","506","560","47.47","44","46","48.89","530","487","52.11","195","212","47.91","24","26","48.00","8.70","91.79","1.005","324","372","348","48.21"
"Nazem Kadri","C","80","813.36666666667","808","861","48.41","599","678","46.91","408","474","46.26","36","33","52.17","398","405","49.56","136","173","44.01","17","19","47.22","8.82","93.04","1.019","237","337","341","41.00"
"Patrick Marleau","C","82","825.8","790","861","47.85","590","678","46.53","410","481","46.02","36","43","45.57","384","412","48.24","142","176","44.65","19","24","44.19","8.78","91.06","0.998","251","328","334","42.91"
"Nikita Zaitsev","D","60","810.4","725","852","45.97","526","674","43.83","365","478","43.30","40","33","54.79","367","386","48.74","138","145","48.76","28","17","62.22","10.96","93.10","1.041","232","302","307","43.04"
"William Nylander","C","82","824","859","822","51.10","600","642","48.31","424","482","46.80","48","35","57.83","484","400","54.75","167","157","51.54","29","20","59.18","11.32","92.74","1.041","265","288","275","49.07"
"Zach Hyman","C","82","809.83333333333","816","817","49.97","587","625","48.43","414","467","46.99","44","36","55.00","440","396","52.63","161","157","50.63","26","20","56.52","10.63","92.29","1.029","246","292","268","47.86"
"Mitchell Marner","C","82","796.93333333333","792","777","50.48","568","612","48.14","386","448","46.28","35","35","50.00","401","355","53.04","145","144","50.17","24","20","54.55","9.07","92.19","1.013","315","269","254","55.36"
"Tyler Bozak","C","81","759.3","785","717","52.26","562","566","49.82","389","412","48.56","34","24","58.62","400","308","56.50","169","110","60.57","23","12","65.71","8.74","94.17","1.029","324","220","250","56.45"
"Leo Komarov","C","74","639.91666666667","563","703","44.47","420","553","43.17","289","379","43.26","20","26","43.48","274","325","45.74","102","125","44.93","7","12","36.84","6.92","93.14","1.001","143","290","275","34.21"
"Auston Matthews","C","62","680.45","716","691","50.89","514","525","49.47","362","390","48.14","42","25","62.69","424","349","54.85","160","136","54.05","27","14","65.85","11.60","93.59","1.052","225","225","226","49.89"
"Connor Brown","R","82","673.98333333333","636","641","49.80","473","496","48.81","327","354","48.02","31","29","51.67","315","297","51.47","137","117","53.94","19","14","57.58","9.48","91.81","1.013","214","234","210","50.47"
"James van Riemsdyk","L","81","703.75","772","623","55.34","548","491","52.74","377","355","51.50","37","25","59.68","404","281","58.98","171","113","60.21","26","14","65.00","9.81","92.96","1.028","319","212","199","61.58"
"Roman Polak","D","54","563.86666666667","566","593","48.84","421","461","47.73","301","336","47.25","25","28","47.17","291","270","51.87","107","99","51.94","14","14","50.00","8.31","91.67","1.000","121","203","183","39.80"
"Andreas Borgman","D","48","409.15","384","407","48.55","265","316","45.61","183","233","43.99","17","19","47.22","182","182","50.00","63","67","48.46","6","8","42.86","9.29","91.85","1.011","115","130","111","50.88"
"Connor Carrick","D","47","459.8","445","397","52.85","319","311","50.63","224","215","51.03","17","14","54.84","222","175","55.92","82","74","52.56","10","9","52.63","7.59","93.49","1.011","176","138","120","59.46"
