"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","8.1166666666667","9","10","47.37","8","9","47.06","4","6","40.00","2","0","100.00","4","5","44.44","3","4","42.86","2","0","100.00","50.00","100.00","1.500","3","2","4","42.86"
"","Jake Gardiner","D","1","7.3166666666667","6","9","40.00","5","8","38.46","2","5","28.57","1","0","100.00","2","5","28.57","1","4","20.00","1","0","100.00","50.00","100.00","1.500","3","2","4","42.86"
"","Mitchell Marner","C","1","6.0833333333333","7","8","46.67","5","8","38.46","3","4","42.86","1","0","100.00","4","5","44.44","2","3","40.00","1","0","100.00","33.33","100.00","1.333","3","1","2","60.00"
"","James van Riemsdyk","L","1","5.1166666666667","6","8","42.86","4","5","44.44","3","2","60.00","0","0","0.00","4","2","66.67","3","1","75.00","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","Connor Carrick","D","1","6.6833333333333","6","8","42.86","4","5","44.44","3","1","75.00","0","0","0.00","5","2","71.43","3","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","0","100.00"
"","Connor Brown","R","1","5.1","6","8","42.86","4","5","44.44","3","2","60.00","0","0","0.00","4","2","66.67","3","1","75.00","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","Tyler Bozak","C","1","5.2333333333333","5","8","38.46","3","5","37.50","3","2","60.00","0","0","0.00","4","2","66.67","3","1","75.00","0","0","0.00","0.00","100.00","1.000","2","0","1","66.67"
"","Patrick Marleau","C","1","5.9666666666667","7","7","50.00","5","7","41.67","3","4","42.86","1","0","100.00","4","4","50.00","2","2","50.00","1","0","100.00","33.33","100.00","1.333","3","1","5","37.50"
"","Nazem Kadri","C","1","5.35","7","7","50.00","5","7","41.67","3","4","42.86","1","0","100.00","4","4","50.00","2","2","50.00","1","0","100.00","33.33","100.00","1.333","3","1","5","37.50"
"","Andreas Borgman","D","1","5.1833333333333","6","7","46.15","4","4","50.00","3","1","75.00","0","0","0.00","5","1","83.33","3","0","100.00","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","Roman Polak","D","1","6.8","11","6","64.71","8","5","61.54","5","3","62.50","1","0","100.00","2","1","66.67","2","0","100.00","1","0","100.00","20.00","100.00","1.200","1","3","2","33.33"
"","Zach Hyman","C","1","5.0333333333333","4","6","40.00","4","4","50.00","2","3","40.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","1","3","1","50.00"
"","William Nylander","C","1","4.9166666666667","4","6","40.00","4","4","50.00","2","3","40.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","1","3","1","50.00"
"","Auston Matthews","C","1","5.35","5","5","50.00","5","3","62.50","2","2","50.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","1","3","1","50.00"
"","Travis Dermott","D","1","5.7333333333333","8","4","66.67","5","3","62.50","3","2","60.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","4","2","33.33"
"","Leo Komarov","C","1","4.1666666666667","6","2","75.00","4","2","66.67","2","1","66.67","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Dominic Moore","C","1","3.9333333333333","6","1","85.71","4","1","80.00","2","0","100.00","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","2","0","0.00"
"","Kasperi Kapanen","R","1","3.5","6","0","100.00","4","0","100.00","2","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","0","0.00"
