"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nazem Kadri","C","1","4.5","6","3","66.67","5","3","62.50","4","1","80.00","0","0","0.00","1","2","33.33","1","2","33.33","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","Leo Komarov","C","1","3.8666666666667","4","3","57.14","4","3","57.14","3","1","75.00","0","0","0.00","1","2","33.33","1","2","33.33","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","Roman Polak","D","1","6.35","15","2","88.24","13","2","86.67","10","1","90.91","1","0","100.00","10","1","90.91","5","1","83.33","0","0","0.00","10.00","100.00","1.100","0","1","0","0.00"
"","Travis Dermott","D","1","5.3666666666667","12","2","85.71","10","2","83.33","6","1","85.71","1","0","100.00","9","1","90.00","3","1","75.00","0","0","0.00","16.67","100.00","1.167","0","1","0","0.00"
"","Connor Brown","R","1","5","10","2","83.33","7","2","77.78","5","1","83.33","0","0","0.00","5","1","83.33","3","1","75.00","0","0","0.00","0.00","100.00","1.000","2","1","1","66.67"
"","Jake Gardiner","D","1","6.1166666666667","10","1","90.91","9","1","90.00","7","0","100.00","0","0","0.00","5","1","83.33","3","1","75.00","0","0","0.00","0.00","100.00","1.000","3","1","0","100.00"
"","Nikita Zaitsev","D","1","5.4666666666667","6","1","85.71","6","1","85.71","5","0","100.00","0","0","0.00","2","1","66.67","1","1","50.00","0","0","0.00","0.00","100.00","1.000","3","1","0","100.00"
"","Patrick Marleau","C","1","2.7833333333333","5","1","83.33","5","1","83.33","3","0","100.00","0","0","0.00","2","1","66.67","1","1","50.00","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","James van Riemsdyk","L","1","3.9666666666667","10","0","100.00","7","0","100.00","5","0","100.00","0","0","0.00","5","0","100.00","3","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","1","66.67"
"","Tyler Bozak","C","1","4.5833333333333","10","0","100.00","7","0","100.00","5","0","100.00","0","0","0.00","5","0","100.00","3","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","1","66.67"
"","William Nylander","C","1","4.8666666666667","8","0","100.00","6","0","100.00","2","0","100.00","1","0","100.00","6","0","100.00","0","0","0.00","0","0","0.00","50.00","100.00","1.500","1","1","0","100.00"
"","Mitchell Marner","C","1","4.95","8","0","100.00","6","0","100.00","2","0","100.00","1","0","100.00","6","0","100.00","0","0","0.00","0","0","0.00","50.00","100.00","1.500","1","1","0","100.00"
"","Dominic Moore","C","1","2.8","5","0","100.00","5","0","100.00","4","0","100.00","0","0","0.00","4","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Zach Hyman","C","1","3.9666666666667","6","0","100.00","5","0","100.00","2","0","100.00","1","0","100.00","5","0","100.00","0","0","0.00","0","0","0.00","50.00","100.00","1.500","1","1","0","100.00"
"","Kasperi Kapanen","R","1","3.3833333333333","5","0","100.00","5","0","100.00","4","0","100.00","0","0","0.00","4","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Josh Leivo","L","1","2.2833333333333","4","0","100.00","4","0","100.00","3","0","100.00","0","0","0.00","4","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Morgan Rielly","D","1","4.3666666666667","7","0","100.00","4","0","100.00","0","0","0.00","0","0","0.00","4","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","0","1","75.00"
"","Ron Hainsey","D","1","3.6333333333333","4","0","100.00","2","0","100.00","0","0","0.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","0","1","75.00"
