"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","17.233333333333","22","18","55.00","15","12","55.56","11","10","52.38","1","3","25.00","11","7","61.11","3","6","33.33","0","2","0.00","9.09","70.00","0.791","7","7","5","58.33"
"","Leo Komarov","C","1","14.783333333333","18","17","51.43","16","13","55.17","12","7","63.16","0","2","0.00","10","10","50.00","6","7","46.15","0","1","0.00","0.00","71.43","0.714","3","6","4","42.86"
"","Connor Brown","R","1","14.933333333333","16","17","48.48","10","13","43.48","8","8","50.00","0","1","0.00","7","7","50.00","3","4","42.86","0","1","0.00","0.00","87.50","0.875","4","5","4","50.00"
"","Nazem Kadri","C","1","15.6","18","16","52.94","16","13","55.17","12","8","60.00","0","2","0.00","9","9","50.00","5","6","45.45","0","1","0.00","0.00","75.00","0.750","3","6","4","42.86"
"","Nikita Zaitsev","D","1","18.716666666667","18","15","54.55","14","12","53.85","10","8","55.56","0","0","0.00","8","8","50.00","3","4","42.86","0","0","0.00","0.00","100.00","1.000","6","8","3","66.67"
"","Morgan Rielly","D","1","17.616666666667","26","14","65.00","17","10","62.96","11","8","57.89","1","3","25.00","12","4","75.00","3","2","60.00","0","2","0.00","9.09","62.50","0.716","8","4","7","53.33"
"","Roman Polak","D","1","17.5","19","14","57.58","15","11","57.69","11","3","78.57","1","0","100.00","11","7","61.11","5","3","62.50","0","0","0.00","9.09","100.00","1.091","1","9","5","16.67"
"","Tyler Bozak","C","1","15.016666666667","16","14","53.33","10","10","50.00","8","7","53.33","0","1","0.00","7","5","58.33","3","2","60.00","0","1","0.00","0.00","85.71","0.857","4","4","5","44.44"
"","Travis Dermott","D","1","18.4","19","13","59.38","13","11","54.17","7","4","63.64","1","0","100.00","11","6","64.71","3","2","60.00","0","0","0.00","14.29","100.00","1.143","3","9","5","37.50"
"","Patrick Marleau","C","1","14.766666666667","19","12","61.29","18","10","64.29","13","6","68.42","0","2","0.00","11","8","57.89","6","5","54.55","0","1","0.00","0.00","66.67","0.667","3","6","6","33.33"
"","James van Riemsdyk","L","1","12.816666666667","14","11","56.00","9","8","52.94","7","5","58.33","0","1","0.00","6","4","60.00","3","2","60.00","0","1","0.00","0.00","80.00","0.800","3","5","4","42.86"
"","Zach Hyman","C","1","14.183333333333","18","10","64.29","9","7","56.25","6","3","66.67","2","0","100.00","8","5","61.54","0","1","0.00","0","0","0.00","33.33","100.00","1.333","7","4","3","70.00"
"","William Nylander","C","1","15.433333333333","20","8","71.43","10","6","62.50","6","3","66.67","2","0","100.00","9","3","75.00","1","0","100.00","0","0","0.00","33.33","100.00","1.333","6","5","5","54.55"
"","Mitchell Marner","C","1","16.133333333333","18","8","69.23","9","6","60.00","5","3","62.50","2","0","100.00","8","3","72.73","0","0","0.00","0","0","0.00","40.00","100.00","1.400","6","4","5","54.55"
"","Jake Gardiner","D","1","17.25","20","6","76.92","14","4","77.78","12","3","80.00","0","0","0.00","11","4","73.33","5","1","83.33","0","0","0.00","0.00","100.00","1.000","5","5","5","50.00"
"","Josh Leivo","L","1","8","8","3","72.73","7","2","77.78","4","2","66.67","0","0","0.00","7","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","2","6","1","66.67"
"","Dominic Moore","C","1","8.4666666666667","10","2","83.33","9","1","90.00","6","1","85.71","0","0","0.00","7","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","2","6","1","66.67"
"","Kasperi Kapanen","R","1","9.7333333333333","11","2","84.62","9","1","90.00","6","1","85.71","0","0","0.00","7","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","2","6","3","40.00"
