"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","7.5333333333333","9","7","56.25","7","6","53.85","7","1","87.50","0","0","0.00","3","5","37.50","2","0","100.00","0","0","0.00","0.00","100.00","1.000","9","2","1","90.00"
"","Tyler Bozak","C","1","4.6666666666667","6","7","46.15","5","5","50.00","5","4","55.56","0","0","0.00","3","5","37.50","3","3","50.00","0","0","0.00","0.00","100.00","1.000","4","0","2","66.67"
"","Roman Polak","D","1","6.9333333333333","6","5","54.55","5","4","55.56","5","2","71.43","0","0","0.00","5","5","50.00","2","2","50.00","0","0","0.00","0.00","100.00","1.000","1","1","2","33.33"
"","James van Riemsdyk","L","1","4.2","6","5","54.55","5","4","55.56","5","3","62.50","0","0","0.00","3","3","50.00","3","2","60.00","0","0","0.00","0.00","100.00","1.000","4","0","2","66.67"
"","Connor Brown","R","1","4.2333333333333","6","5","54.55","5","4","55.56","5","3","62.50","0","0","0.00","3","3","50.00","3","2","60.00","0","0","0.00","0.00","100.00","1.000","3","1","2","60.00"
"","Nikita Zaitsev","D","1","6.8333333333333","7","5","58.33","5","5","50.00","5","1","83.33","0","0","0.00","1","2","33.33","1","0","100.00","0","0","0.00","0.00","100.00","1.000","8","2","1","88.89"
"","Nazem Kadri","C","1","5.0833333333333","5","5","50.00","3","5","37.50","3","0","100.00","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","2","0","100.00"
"","Mitchell Marner","C","1","5.75","5","5","50.00","3","5","37.50","3","0","100.00","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","4","2","0","100.00"
"","Patrick Marleau","C","1","5.25","4","5","44.44","2","5","28.57","2","0","100.00","0","0","0.00","1","3","25.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","2","0","100.00"
"","Ron Hainsey","D","1","4.3166666666667","4","4","50.00","4","3","57.14","4","2","66.67","0","0","0.00","2","3","40.00","1","3","25.00","0","0","0.00","0.00","100.00","1.000","2","1","2","50.00"
"","Morgan Rielly","D","1","4.6833333333333","3","4","42.86","3","3","50.00","3","1","75.00","1","0","100.00","2","2","50.00","1","2","33.33","1","0","100.00","33.33","100.00","1.333","1","0","3","25.00"
"","Zach Hyman","C","1","4.8333333333333","5","3","62.50","5","2","71.43","5","1","83.33","1","0","100.00","4","3","57.14","2","2","50.00","1","0","100.00","20.00","100.00","1.200","3","0","3","50.00"
"","Tomas Plekanec","C","1","3.5166666666667","1","2","33.33","1","1","50.00","1","1","50.00","0","0","0.00","0","2","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","William Nylander","C","1","5.5166666666667","6","1","85.71","6","1","85.71","6","0","100.00","1","0","100.00","4","1","80.00","2","1","66.67","1","0","100.00","16.67","100.00","1.167","3","0","3","50.00"
"","Travis Dermott","D","1","6.3","7","1","87.50","6","1","85.71","6","1","85.71","1","0","100.00","5","1","83.33","3","1","75.00","1","0","100.00","16.67","100.00","1.167","1","0","3","25.00"
"","Auston Matthews","C","1","5.35","6","1","85.71","6","1","85.71","6","0","100.00","1","0","100.00","4","1","80.00","2","1","66.67","1","0","100.00","16.67","100.00","1.167","3","0","3","50.00"
"","Andreas Johnsson","L","1","3.45","3","0","100.00","3","0","100.00","3","0","100.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","1","50.00"
"","Kasperi Kapanen","R","1","3.05","1","0","100.00","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
