"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nikita Zaitsev","D","1","9.6833333333333","12","9","57.14","8","5","61.54","5","5","50.00","1","1","50.00","5","3","62.50","3","1","75.00","1","0","100.00","20.00","80.00","1.000","3","3","5","37.50"
"","Auston Matthews","C","1","4.8833333333333","3","8","27.27","1","4","20.00","1","4","20.00","0","0","0.00","2","3","40.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","0","3","25.00"
"","Jake Gardiner","D","1","7.2","3","7","30.00","3","4","42.86","1","3","25.00","0","0","0.00","2","2","50.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","1","4","42.86"
"","Zach Hyman","C","1","4.5833333333333","3","7","30.00","1","4","20.00","1","4","20.00","0","0","0.00","2","3","40.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","0","3","25.00"
"","William Nylander","C","1","4.7","3","7","30.00","1","4","20.00","1","4","20.00","0","0","0.00","2","3","40.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","0","4","20.00"
"","Nazem Kadri","C","1","6.7333333333333","8","5","61.54","6","2","75.00","6","2","75.00","1","1","50.00","4","1","80.00","2","0","100.00","1","0","100.00","16.67","50.00","0.667","1","4","3","25.00"
"","Leo Komarov","C","1","6.8","7","5","58.33","5","2","71.43","5","2","71.43","1","1","50.00","3","1","75.00","2","0","100.00","1","0","100.00","20.00","50.00","0.700","2","4","3","40.00"
"","Andreas Borgman","D","1","5.25","8","5","61.54","4","4","50.00","3","4","42.86","0","1","0.00","2","2","50.00","1","1","50.00","0","0","0.00","0.00","75.00","0.750","1","1","1","50.00"
"","Ron Hainsey","D","1","6.2666666666667","5","4","55.56","5","2","71.43","3","1","75.00","1","0","100.00","2","2","50.00","1","0","100.00","1","0","100.00","33.33","100.00","1.333","2","3","1","66.67"
"","Josh Leivo","L","1","4.85","6","4","60.00","4","2","66.67","4","2","66.67","0","1","0.00","2","0","100.00","1","0","100.00","0","0","0.00","0.00","50.00","0.500","1","2","1","50.00"
"","Patrick Marleau","C","1","4.1166666666667","2","3","40.00","2","2","50.00","1","1","50.00","1","0","100.00","1","2","33.33","1","0","100.00","1","0","100.00","100.00","100.00","2.000","3","2","1","75.00"
"","Connor Carrick","D","1","3.6","1","3","25.00","1","1","50.00","1","1","50.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","1","1","66.67"
"","Morgan Rielly","D","1","4.2","5","2","71.43","5","0","100.00","3","0","100.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","Mitchell Marner","C","1","4.25","5","2","71.43","5","2","71.43","1","1","50.00","0","0","0.00","1","1","50.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","James van Riemsdyk","L","1","3.0333333333333","2","2","50.00","2","2","50.00","1","1","50.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","0","0","100.00"
"","Matt Martin","L","1","3.6833333333333","5","1","83.33","5","0","100.00","1","0","100.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","Connor Brown","R","1","3.05","1","1","50.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","0","0","100.00"
"","Tyler Bozak","C","1","3.6166666666667","6","0","100.00","6","0","100.00","2","0","100.00","0","0","0.00","2","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
