"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","18.616666666667","15","19","44.12","11","14","44.00","8","12","40.00","0","2","0.00","6","4","60.00","3","1","75.00","0","0","0.00","0.00","83.33","0.833","6","3","8","42.86"
"","Nikita Zaitsev","D","1","16.15","14","16","46.67","10","13","43.48","7","11","38.89","0","2","0.00","6","5","54.55","3","2","60.00","0","0","0.00","0.00","81.82","0.818","6","3","8","42.86"
"","Leo Komarov","C","1","13.533333333333","9","16","36.00","6","13","31.58","2","11","15.38","0","0","0.00","5","1","83.33","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","5","6","25.00"
"","William Nylander","C","1","14.85","13","14","48.15","9","12","42.86","4","11","26.67","0","0","0.00","6","1","85.71","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","5","6","33.33"
"","Nazem Kadri","C","1","14.166666666667","11","14","44.00","8","12","40.00","3","11","21.43","0","0","0.00","5","1","83.33","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","5","6","33.33"
"","Ron Hainsey","D","1","16.016666666667","11","14","44.00","7","12","36.84","3","8","27.27","0","0","0.00","6","4","60.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","2","5","7","22.22"
"","Morgan Rielly","D","1","15.966666666667","11","14","44.00","7","12","36.84","3","8","27.27","0","0","0.00","6","4","60.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","2","5","7","22.22"
"","Dominic Moore","C","1","7.9166666666667","6","12","33.33","5","11","31.25","5","7","41.67","0","0","0.00","5","6","45.45","2","4","33.33","0","0","0.00","0.00","100.00","1.000","1","3","3","25.00"
"","Roman Polak","D","1","13.066666666667","9","11","45.00","8","8","50.00","5","7","41.67","0","0","0.00","3","2","60.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","4","3","1","80.00"
"","Josh Leivo","L","1","7.6166666666667","6","11","35.29","5","10","33.33","5","6","45.45","0","0","0.00","5","5","50.00","2","3","40.00","0","0","0.00","0.00","100.00","1.000","1","3","3","25.00"
"","Mitchell Marner","C","1","10.583333333333","5","11","31.25","3","8","27.27","3","6","33.33","0","0","0.00","2","2","50.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","4","2","0","100.00"
"","Matt Martin","L","1","7.6","6","10","37.50","5","10","33.33","5","6","45.45","0","0","0.00","5","5","50.00","2","3","40.00","0","0","0.00","0.00","100.00","1.000","1","3","3","25.00"
"","James van Riemsdyk","L","1","11.416666666667","6","10","37.50","4","6","40.00","3","5","37.50","0","0","0.00","2","3","40.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","4","2","3","57.14"
"","Tyler Bozak","C","1","11.883333333333","5","10","33.33","3","6","33.33","3","4","42.86","0","0","0.00","2","2","50.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","4","2","3","57.14"
"","Andreas Borgman","D","1","10.7","10","8","55.56","9","7","56.25","6","6","50.00","0","0","0.00","3","3","50.00","1","3","25.00","0","0","0.00","0.00","100.00","1.000","4","3","1","80.00"
"","Patrick Marleau","C","1","12.033333333333","14","5","73.68","11","4","73.33","6","4","60.00","0","2","0.00","3","2","60.00","1","1","50.00","0","0","0.00","0.00","50.00","0.500","5","1","4","55.56"
"","Zach Hyman","C","1","12.266666666667","13","5","72.22","10","4","71.43","5","4","55.56","0","2","0.00","3","2","60.00","1","1","50.00","0","0","0.00","0.00","50.00","0.500","4","1","4","50.00"
"","Connor Brown","R","1","11.7","11","5","68.75","9","3","75.00","4","3","57.14","0","2","0.00","2","3","40.00","1","1","50.00","0","0","0.00","0.00","33.33","0.333","4","1","7","36.36"
