"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Ron Hainsey","D","80","213.71666666667","233","186","55.61","176","152","53.66","123","108","53.25","9","8","52.94","128","94","57.66","51","37","57.95","6","3","66.67","7.32","92.59","0.999","84","83","76","52.50"
"Morgan Rielly","D","76","222.31666666667","268","185","59.16","199","148","57.35","133","107","55.42","10","12","45.45","143","95","60.08","52","37","58.43","6","4","60.00","7.52","88.79","0.963","111","79","68","62.01"
"Jake Gardiner","D","82","253.85","291","182","61.52","218","147","59.73","145","111","56.64","16","14","53.33","159","98","61.87","60","38","61.22","12","9","57.14","11.03","87.39","0.984","118","85","76","60.82"
"Patrick Marleau","C","82","177.76666666667","186","168","52.54","139","130","51.67","95","91","51.08","10","13","43.48","91","81","52.91","31","27","53.45","5","6","45.45","10.53","85.71","0.962","84","64","58","59.15"
"Mitchell Marner","C","82","186.36666666667","224","163","57.88","171","135","55.88","110","102","51.89","10","9","52.63","116","80","59.18","43","27","61.43","8","5","61.54","9.09","91.18","1.003","94","56","43","68.61"
"Nazem Kadri","C","80","169.53333333333","199","147","57.51","145","113","56.20","90","79","53.25","7","8","46.67","91","73","55.49","29","26","52.73","5","2","71.43","7.78","89.87","0.977","80","59","52","60.61"
"Tyler Bozak","C","81","179.21666666667","232","137","62.87","177","117","60.20","121","85","58.74","11","6","64.71","128","61","67.72","56","21","72.73","9","5","64.29","9.09","92.94","1.020","86","60","46","65.15"
"Nikita Zaitsev","D","60","170.03333333333","161","134","54.58","120","112","51.72","78","81","49.06","10","9","52.63","88","71","55.35","31","30","50.82","9","7","56.25","12.82","88.89","1.017","70","54","53","56.91"
"William Nylander","C","82","183.83333333333","225","132","63.03","153","108","58.62","106","85","55.50","10","9","52.63","127","71","64.14","42","33","56.00","6","5","54.55","9.43","89.41","0.988","83","63","55","60.14"
"Leo Komarov","C","74","129.46666666667","119","132","47.41","86","105","45.03","57","70","44.88","4","8","33.33","50","58","46.30","19","20","48.72","2","3","40.00","7.02","88.57","0.956","45","63","53","45.92"
"James van Riemsdyk","L","81","173.93333333333","244","121","66.85","183","103","63.99","125","76","62.19","11","8","57.89","136","58","70.10","54","22","71.05","9","6","60.00","8.80","89.47","0.983","93","60","41","69.40"
"Zach Hyman","C","82","172.83333333333","207","121","63.11","147","99","59.76","101","78","56.42","10","10","50.00","112","64","63.64","36","29","55.38","5","6","45.45","9.90","87.18","0.971","67","55","46","59.29"
"Roman Polak","D","54","118.93333333333","148","110","57.36","110","92","54.46","78","68","53.42","5","5","50.00","79","47","62.70","25","13","65.79","1","2","33.33","6.41","92.65","0.991","21","50","35","37.50"
"Auston Matthews","C","62","151.06666666667","191","106","64.31","132","84","61.11","97","67","59.15","7","5","58.33","115","63","64.61","40","28","58.82","4","2","66.67","7.22","92.54","0.998","73","44","44","62.39"
"Connor Brown","R","82","155.38333333333","168","102","62.22","127","81","61.06","85","58","59.44","8","8","50.00","93","48","65.96","34","17","66.67","4","5","44.44","9.41","86.21","0.956","49","62","42","53.85"
"Andreas Borgman","D","48","89.233333333333","97","77","55.75","67","62","51.94","43","46","48.31","5","3","62.50","41","29","58.57","13","11","54.17","2","2","50.00","11.63","93.48","1.051","24","35","23","51.06"
"Connor Carrick","D","47","95.35","100","68","59.52","69","58","54.33","47","41","53.41","1","3","25.00","41","37","52.56","11","13","45.83","1","1","50.00","2.13","92.68","0.948","38","36","24","61.29"
"Travis Dermott","D","37","91.216666666667","125","48","72.25","92","39","70.23","62","26","70.45","6","1","85.71","65","21","75.58","19","5","79.17","3","0","100.00","9.68","96.15","1.058","28","41","19","59.57"
"Dominic Moore","C","50","62.433333333333","45","40","52.94","35","35","50.00","23","25","47.92","2","3","40.00","24","24","50.00","10","11","47.62","1","1","50.00","8.70","88.00","0.967","6","33","21","22.22"
"Matt Martin","L","50","49.716666666667","41","37","52.56","31","29","51.67","21","21","50.00","2","2","50.00","21","22","48.84","5","8","38.46","1","1","50.00","9.52","90.48","1.000","8","28","19","29.63"
"Kasperi Kapanen","R","38","56.666666666667","58","36","61.70","44","33","57.14","28","23","54.90","0","1","0.00","30","16","65.22","12","7","63.16","0","0","0.00","0.00","95.65","0.957","11","26","17","39.29"
"Tomas Plekanec","C","17","28.283333333333","33","20","62.26","26","19","57.78","19","12","61.29","3","3","50.00","17","11","60.71","7","6","53.85","3","2","60.00","15.79","75.00","0.908","4","14","8","33.33"
"Josh Leivo","L","16","18.333333333333","21","15","58.33","19","12","61.29","13","7","65.00","1","1","50.00","13","5","72.22","5","3","62.50","0","0","0.00","7.69","85.71","0.934","4","5","15","21.05"
"Frederik Gauthier","C","9","10.133333333333","9","10","47.37","6","9","40.00","6","6","50.00","0","0","0.00","6","6","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","6","4","20.00"
"Andreas Johnsson","L","9","18.616666666667","20","9","68.97","16","7","69.57","10","4","71.43","0","1","0.00","13","4","76.47","4","0","100.00","0","0","0.00","0.00","75.00","0.750","1","9","3","25.00"
"Martin Marincin","D","2","7.3833333333333","5","6","45.45","4","4","50.00","3","3","50.00","0","0","0.00","1","2","33.33","0","1","0.00","0","0","0.00","0.00","100.00","1.000","3","2","6","33.33"
"Nikita Soshnikov","R","3","1.9333333333333","0","6","0.00","0","5","0.00","0","3","0.00","0","0","0.00","0","2","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","3","0.00"
"Calle Rosen","D","4","6.85","8","2","80.00","5","1","83.33","3","1","75.00","0","0","0.00","5","1","83.33","2","1","66.67","0","0","0.00","0.00","100.00","1.000","1","4","2","33.33"
"Eric Fehr","C","4","3.6333333333333","2","2","50.00","2","1","66.67","1","1","50.00","0","0","0.00","2","1","66.67","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
