"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Jake Gardiner","D","82","631.18333333333","605","640","48.59","433","500","46.41","293","351","45.50","23","23","50.00","315","284","52.59","121","109","52.61","17","8","68.00","7.85","93.45","1.013","178","217","246","41.98"
"Ron Hainsey","D","80","524.06666666667","489","566","46.35","351","443","44.21","239","316","43.06","24","18","57.14","254","258","49.61","113","115","49.56","17","10","62.96","10.04","94.30","1.043","139","210","219","38.83"
"Morgan Rielly","D","76","500.56666666667","514","526","49.42","360","412","46.63","246","307","44.48","22","19","53.66","273","254","51.80","110","113","49.33","14","11","56.00","8.94","93.81","1.028","145","201","195","42.65"
"Nazem Kadri","C","80","430.96666666667","406","481","45.77","298","383","43.76","199","272","42.25","16","15","51.61","206","222","48.13","78","99","44.07","8","10","44.44","8.04","94.49","1.025","115","183","194","37.22"
"William Nylander","C","82","452.18333333333","459","469","49.46","317","360","46.82","215","267","44.61","23","19","54.76","260","209","55.44","93","83","52.84","15","10","60.00","10.70","92.88","1.036","124","162","148","45.59"
"Patrick Marleau","C","82","437.41666666667","418","466","47.29","307","377","44.88","208","274","43.15","17","19","47.22","200","217","47.96","82","95","46.33","10","9","52.63","8.17","93.07","1.012","122","174","189","39.23"
"Nikita Zaitsev","D","60","406.96666666667","364","432","45.73","267","340","43.99","186","243","43.36","20","15","57.14","188","180","51.09","78","64","54.93","15","5","75.00","10.75","93.83","1.046","104","159","169","38.10"
"Zach Hyman","C","82","429.28333333333","426","425","50.06","303","320","48.64","207","231","47.26","20","17","54.05","235","192","55.04","94","71","56.97","15","8","65.22","9.66","92.64","1.023","118","163","146","44.70"
"Mitchell Marner","C","82","421.11666666667","393","422","48.22","271","335","44.72","193","247","43.86","16","18","47.06","197","189","51.04","73","84","46.50","11","9","55.00","8.29","92.71","1.010","158","145","142","52.67"
"Leo Komarov","C","74","346.41666666667","308","385","44.44","228","301","43.10","148","211","41.23","8","9","47.06","155","180","46.27","64","67","48.85","3","3","50.00","5.41","95.73","1.011","68","151","158","30.09"
"Auston Matthews","C","62","369.65","377","383","49.61","270","294","47.87","180","212","45.92","22","13","62.86","223","175","56.03","90","64","58.44","16","6","72.73","12.22","93.87","1.061","99","132","122","44.80"
"Tyler Bozak","C","81","397.48333333333","372","380","49.47","249","303","45.11","179","223","44.53","15","10","60.00","181","154","54.03","66","53","55.46","9","3","75.00","8.38","95.52","1.039","160","107","144","52.63"
