"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Jake Gardiner","D","82","460.71666666667","551","344","61.56","407","267","60.39","286","194","59.58","26","22","54.17","306","175","63.62","123","69","64.06","15","13","53.57","9.09","88.66","0.978","208","151","121","63.22"
"Morgan Rielly","D","76","416.26666666667","530","313","62.87","402","253","61.37","283","181","60.99","24","20","54.55","278","155","64.20","107","58","64.85","13","6","68.42","8.48","88.95","0.974","214","154","125","63.13"
"Ron Hainsey","D","80","374.08333333333","420","308","57.69","321","251","56.12","232","176","56.86","21","15","58.33","220","156","58.51","90","62","59.21","12","7","63.16","9.05","91.48","1.005","141","153","128","52.42"
"Patrick Marleau","C","82","318.8","345","263","56.74","251","207","54.80","183","146","55.62","17","21","44.74","169","131","56.33","61","48","55.96","7","10","41.18","9.29","85.62","0.949","151","115","94","61.63"
"William Nylander","C","82","340.66666666667","429","254","62.81","297","205","59.16","213","158","57.41","18","14","56.25","243","128","65.50","98","57","63.23","9","7","56.25","8.45","91.14","0.996","158","121","93","62.95"
"Zach Hyman","C","82","324.86666666667","397","251","61.27","285","198","59.01","203","150","57.51","19","14","57.58","225","129","63.56","93","59","61.18","9","8","52.94","9.36","90.67","1.000","141","113","81","63.51"
"Nikita Zaitsev","D","60","307.88333333333","330","249","56.99","236","191","55.27","158","134","54.11","15","14","51.72","183","118","60.80","75","51","59.52","9","10","47.37","9.49","89.55","0.990","127","93","85","59.91"
"Mitchell Marner","C","82","336.6","420","245","63.16","319","202","61.23","213","146","59.33","16","12","57.14","218","112","66.06","79","36","68.70","10","7","58.82","7.51","91.78","0.993","171","101","75","69.51"
"Nazem Kadri","C","80","298.16666666667","363","235","60.70","265","187","58.63","178","122","59.33","12","13","48.00","176","111","61.32","64","44","59.26","6","4","60.00","6.74","89.34","0.961","137","103","96","58.80"
"Tyler Bozak","C","81","312.33333333333","408","233","63.65","313","189","62.35","218","137","61.41","17","8","68.00","214","102","67.72","85","31","73.28","12","5","70.59","7.80","94.16","1.020","153","101","81","65.38"
"Leo Komarov","C","74","237.81666666667","233","226","50.76","174","177","49.57","123","114","51.90","10","14","41.67","108","103","51.18","46","40","53.49","3","6","33.33","8.13","87.72","0.958","75","106","95","44.12"
"James van Riemsdyk","L","81","309.13333333333","421","214","66.30","311","170","64.66","213","121","63.77","15","11","57.69","222","92","70.70","83","31","72.81","12","8","60.00","7.04","90.91","0.980","166","99","68","70.94"
"Auston Matthews","C","62","270.2","355","210","62.83","254","160","61.35","187","123","60.32","17","11","60.71","216","115","65.26","90","48","65.22","9","4","69.23","9.09","91.06","1.001","133","91","73","64.56"
"Connor Brown","R","82","272.96666666667","293","200","59.43","223","154","59.15","161","106","60.30","19","16","54.29","161","94","63.14","68","39","63.55","10","7","58.82","11.80","84.91","0.967","113","103","70","61.75"
"Roman Polak","D","54","212.68333333333","233","190","55.08","176","158","52.69","125","112","52.74","6","5","54.55","118","85","58.13","45","23","66.18","1","2","33.33","4.80","95.54","1.003","44","78","65","40.37"
"Andreas Borgman","D","48","192.66666666667","212","169","55.64","155","135","53.45","103","96","51.76","12","7","63.16","103","70","59.54","37","25","59.68","5","4","55.56","11.65","92.71","1.044","72","73","42","63.16"
"Connor Carrick","D","47","149.68333333333","146","99","59.59","105","79","57.07","77","54","58.78","4","5","44.44","63","49","56.25","23","20","53.49","3","2","60.00","5.19","90.74","0.959","62","66","33","65.26"
"Matt Martin","L","50","110.78333333333","106","82","56.38","84","66","56.00","62","49","55.86","6","4","60.00","51","43","54.26","16","13","55.17","3","2","60.00","9.68","91.84","1.015","21","60","31","40.38"
"Kasperi Kapanen","R","38","109.45","110","82","57.29","83","63","56.85","53","45","54.08","1","4","20.00","56","36","60.87","24","13","64.86","0","2","0.00","1.89","91.11","0.930","21","46","31","40.38"
"Dominic Moore","C","50","111.1","103","78","56.91","80","64","55.56","55","43","56.12","5","5","50.00","48","41","53.93","18","15","54.55","2","2","50.00","9.09","88.37","0.975","13","55","25","34.21"
"Travis Dermott","D","37","132.91666666667","157","71","68.86","114","54","67.86","80","36","68.97","7","1","87.50","79","29","73.15","25","7","78.13","4","0","100.00","8.75","97.22","1.060","46","56","30","60.53"
"Tomas Plekanec","C","17","47.166666666667","44","38","53.66","35","32","52.24","26","22","54.17","3","4","42.86","21","20","51.22","11","10","52.38","3","3","50.00","11.54","81.82","0.934","7","24","16","30.43"
"Josh Leivo","L","16","37.9","43","25","63.24","40","21","65.57","26","12","68.42","1","1","50.00","24","8","75.00","10","3","76.92","0","0","0.00","3.85","91.67","0.955","11","12","17","39.29"
"Martin Marincin","D","2","18.033333333333","14","21","40.00","9","14","39.13","6","9","40.00","0","1","0.00","4","10","28.57","0","3","0.00","0","0","0.00","0.00","88.89","0.889","4","6","8","33.33"
"Frederik Gauthier","C","9","14.933333333333","11","17","39.29","8","14","36.36","8","9","47.06","0","0","0.00","7","10","41.18","0","2","0.00","0","0","0.00","0.00","100.00","1.000","2","7","5","28.57"
"Calle Rosen","D","4","17.783333333333","30","13","69.77","23","10","69.70","14","8","63.64","1","1","50.00","20","8","71.43","6","2","75.00","0","0","0.00","7.14","87.50","0.946","9","9","5","64.29"
"Andreas Johnsson","L","9","19.783333333333","20","10","66.67","16","8","66.67","10","4","71.43","0","1","0.00","13","4","76.47","4","0","100.00","0","0","0.00","0.00","75.00","0.750","2","10","3","40.00"
"Nikita Soshnikov","R","3","1.9333333333333","0","6","0.00","0","5","0.00","0","3","0.00","0","0","0.00","0","2","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","3","0.00"
"Eric Fehr","C","4","6.4666666666667","3","5","37.50","3","3","50.00","2","3","40.00","1","0","100.00","3","3","50.00","1","0","100.00","0","0","0.00","50.00","100.00","1.500","0","3","2","0.00"
