"Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Ron Hainsey","D","80","263.51666666667","206","309","40.00","163","231","41.37","116","167","40.99","13","12","52.00","96","157","37.94","34","70","32.69","6","9","40.00","11.21","92.81","1.040","64","120","107","37.43"
"Nikita Zaitsev","D","60","233.4","200","286","41.15","139","222","38.50","101","154","39.61","10","9","52.63","91","135","40.27","29","51","36.25","4","5","44.44","9.90","94.16","1.041","58","89","85","40.56"
"Jake Gardiner","D","82","254.71666666667","218","284","43.43","159","213","42.74","122","145","45.69","13","7","65.00","110","133","45.27","40","46","46.51","6","4","60.00","10.66","95.17","1.058","81","97","93","46.55"
"Zach Hyman","C","82","207.71666666667","183","271","40.31","137","206","39.94","106","158","40.15","14","9","60.87","93","140","39.91","31","57","35.23","6","6","50.00","13.21","94.30","1.075","61","74","76","44.53"
"Morgan Rielly","D","76","224.76666666667","229","249","47.91","179","193","48.12","127","146","46.52","12","15","44.44","114","138","45.24","33","62","34.74","4","11","26.67","9.45","89.73","0.992","68","92","85","44.44"
"Nazem Kadri","C","80","212.86666666667","203","233","46.56","156","182","46.15","119","123","49.17","13","10","56.52","101","110","47.87","29","48","37.66","4","7","36.36","10.92","91.87","1.028","42","95","95","30.66"
"Patrick Marleau","C","82","210.61666666667","186","227","45.04","144","171","45.71","107","116","47.98","9","11","45.00","93","114","44.93","29","54","34.94","4","9","30.77","8.41","90.52","0.989","45","90","87","34.09"
"William Nylander","C","82","187.98333333333","175","221","44.19","130","174","42.76","103","130","44.21","15","7","68.18","97","120","44.70","32","41","43.84","8","5","61.54","14.56","94.62","1.092","58","63","72","44.62"
"Connor Brown","R","82","173.6","147","219","40.16","113","161","41.24","78","122","39.00","6","9","40.00","63","98","39.13","34","46","42.50","3","5","37.50","7.69","92.62","1.003","59","60","50","54.13"
"Auston Matthews","C","62","159.73333333333","148","202","42.29","112","147","43.24","85","111","43.37","13","7","65.00","86","111","43.65","30","44","40.54","7","6","53.85","15.29","93.69","1.090","53","49","60","46.90"
"Tyler Bozak","C","81","182.6","181","200","47.51","136","146","48.23","89","104","46.11","8","8","50.00","91","93","49.46","47","36","56.63","5","4","55.56","8.99","92.31","1.013","78","53","60","56.52"
