"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","13.216666666667","13","16","44.83","10","14","41.67","8","12","40.00","0","3","0.00","9","6","60.00","4","2","66.67","0","1","0.00","0.00","75.00","0.750","8","4","4","66.67"
"","Morgan Rielly","D","1","17.2","16","13","55.17","14","12","53.85","12","10","54.55","0","2","0.00","9","4","69.23","4","1","80.00","0","0","0.00","0.00","80.00","0.800","12","4","4","75.00"
"","Leo Komarov","C","1","12.016666666667","13","10","56.52","10","8","55.56","10","6","62.50","1","2","33.33","5","5","50.00","3","3","50.00","1","1","50.00","10.00","66.67","0.767","3","5","4","42.86"
"","Tomas Plekanec","C","1","10.95","9","9","50.00","7","7","50.00","7","5","58.33","1","1","50.00","4","4","50.00","2","3","40.00","1","1","50.00","14.29","80.00","0.943","3","5","4","42.86"
"","Jake Gardiner","D","1","19.866666666667","31","8","79.49","25","7","78.13","20","4","83.33","1","1","50.00","15","4","78.95","4","3","57.14","1","1","50.00","5.00","75.00","0.800","12","4","2","85.71"
"","Matt Martin","L","1","9.8333333333333","9","8","52.94","7","6","53.85","7","4","63.64","1","1","50.00","3","3","50.00","2","2","50.00","1","1","50.00","14.29","75.00","0.893","3","5","3","50.00"
"","Patrick Marleau","C","1","12.6","17","7","70.83","14","7","66.67","12","4","75.00","0","2","0.00","11","3","78.57","5","0","100.00","0","0","0.00","0.00","50.00","0.500","10","2","1","90.91"
"","Nazem Kadri","C","1","12.033333333333","17","7","70.83","14","7","66.67","13","4","76.47","0","2","0.00","8","3","72.73","3","0","100.00","0","0","0.00","0.00","50.00","0.500","11","2","1","91.67"
"","Mitchell Marner","C","1","15.65","20","6","76.92","15","6","71.43","13","3","81.25","0","1","0.00","12","2","85.71","6","0","100.00","0","0","0.00","0.00","66.67","0.667","12","3","1","92.31"
"","Connor Carrick","D","1","18.166666666667","14","6","70.00","12","4","75.00","11","1","91.67","0","0","0.00","6","3","66.67","3","2","60.00","0","0","0.00","0.00","100.00","1.000","7","5","3","70.00"
"","Kasperi Kapanen","R","1","13.266666666667","12","6","66.67","9","3","75.00","6","2","75.00","0","0","0.00","7","2","77.78","1","1","50.00","0","0","0.00","0.00","100.00","1.000","8","3","4","66.67"
"","Nikita Zaitsev","D","1","16.033333333333","24","5","82.76","17","3","85.00","12","1","92.31","1","0","100.00","14","1","93.33","5","1","83.33","1","0","100.00","8.33","100.00","1.083","9","5","2","81.82"
"","James van Riemsdyk","L","1","14.516666666667","18","5","78.26","14","2","87.50","11","1","91.67","0","0","0.00","9","1","90.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","10","3","3","76.92"
"","William Nylander","C","1","15.2","18","5","78.26","14","5","73.68","10","4","71.43","0","0","0.00","9","2","81.82","5","2","71.43","0","0","0.00","0.00","100.00","1.000","8","3","1","88.89"
"","Tyler Bozak","C","1","14.216666666667","17","5","77.27","13","2","86.67","10","1","90.91","0","0","0.00","9","1","90.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","10","3","3","76.92"
"","Zach Hyman","C","1","12.2","12","5","70.59","10","5","66.67","7","4","63.64","0","0","0.00","6","2","75.00","3","2","60.00","0","0","0.00","0.00","100.00","1.000","6","3","1","85.71"
"","Connor Brown","R","1","11.25","10","5","66.67","9","5","64.29","6","4","60.00","0","0","0.00","5","2","71.43","2","2","50.00","0","0","0.00","0.00","100.00","1.000","6","2","1","85.71"
"","Travis Dermott","D","1","16.183333333333","10","4","71.43","9","2","81.82","8","0","100.00","0","0","0.00","5","2","71.43","2","1","66.67","0","0","0.00","0.00","100.00","1.000","9","4","3","75.00"
