"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","16.683333333333","11","19","36.67","11","18","37.93","9","15","37.50","1","1","50.00","6","11","35.29","3","7","30.00","1","1","50.00","11.11","93.33","1.044","2","13","8","20.00"
"","Morgan Rielly","D","1","18.083333333333","10","16","38.46","10","14","41.67","8","13","38.10","1","0","100.00","6","8","42.86","3","6","33.33","1","0","100.00","12.50","100.00","1.125","3","12","7","30.00"
"","William Nylander","C","1","15.75","10","14","41.67","9","11","45.00","7","9","43.75","3","1","75.00","6","10","37.50","2","4","33.33","1","1","50.00","42.86","88.89","1.317","3","5","5","37.50"
"","Nazem Kadri","C","1","14.633333333333","6","14","30.00","5","14","26.32","5","12","29.41","0","0","0.00","4","5","44.44","1","4","20.00","0","0","0.00","0.00","100.00","1.000","2","11","5","28.57"
"","Connor Carrick","D","1","12.366666666667","6","14","30.00","5","11","31.25","5","8","38.46","0","1","0.00","2","7","22.22","1","1","50.00","0","1","0.00","0.00","87.50","0.875","4","3","3","57.14"
"","Andreas Borgman","D","1","14.266666666667","6","13","31.58","5","11","31.25","5","8","38.46","0","1","0.00","2","6","25.00","1","1","50.00","0","1","0.00","0.00","87.50","0.875","5","3","3","62.50"
"","Leo Komarov","C","1","13.566666666667","9","12","42.86","8","12","40.00","7","10","41.18","0","0","0.00","5","4","55.56","2","3","40.00","0","0","0.00","0.00","100.00","1.000","2","10","5","28.57"
"","Tyler Bozak","C","1","10.366666666667","5","12","29.41","5","10","33.33","4","8","33.33","1","2","33.33","2","6","25.00","1","2","33.33","0","2","0.00","25.00","75.00","1.000","3","2","3","50.00"
"","Patrick Marleau","C","1","14.65","11","11","50.00","9","11","45.00","7","9","43.75","0","0","0.00","5","4","55.56","2","3","40.00","0","0","0.00","0.00","100.00","1.000","3","10","4","42.86"
"","Nikita Zaitsev","D","1","16.816666666667","13","9","59.09","11","8","57.89","8","5","61.54","3","1","75.00","6","2","75.00","2","0","100.00","0","0","0.00","37.50","80.00","1.175","4","4","4","50.00"
"","Jake Gardiner","D","1","17.416666666667","12","9","57.14","10","8","55.56","7","7","50.00","3","2","60.00","6","4","60.00","2","1","66.67","0","1","0.00","42.86","71.43","1.143","4","3","3","57.14"
"","Zach Hyman","C","1","14.566666666667","8","9","47.06","8","8","50.00","6","7","46.15","3","0","100.00","5","5","50.00","2","3","40.00","1","0","100.00","50.00","100.00","1.500","2","4","6","25.00"
"","Connor Brown","R","1","9.5","6","9","40.00","6","8","42.86","4","5","44.44","1","1","50.00","2","5","28.57","1","1","50.00","0","1","0.00","25.00","80.00","1.050","3","2","3","50.00"
"","James van Riemsdyk","L","1","10.233333333333","5","9","35.71","5","7","41.67","4","5","44.44","1","1","50.00","2","5","28.57","1","1","50.00","0","1","0.00","25.00","80.00","1.050","3","2","3","50.00"
"","Auston Matthews","C","1","15.816666666667","13","8","61.90","12","5","70.59","9","4","69.23","3","0","100.00","7","6","53.85","3","2","60.00","1","0","100.00","33.33","100.00","1.333","3","4","4","42.86"
"","Mitchell Marner","C","1","9.1833333333333","4","8","33.33","3","6","33.33","3","5","37.50","0","1","0.00","1","2","33.33","1","0","100.00","0","0","0.00","0.00","80.00","0.800","3","2","1","75.00"
"","Eric Fehr","C","1","6.65","4","6","40.00","3","6","33.33","3","4","42.86","0","1","0.00","1","2","33.33","1","0","100.00","0","0","0.00","0.00","75.00","0.750","2","2","2","50.00"
"","Matt Martin","L","1","6.1833333333333","3","6","33.33","3","5","37.50","3","4","42.86","0","1","0.00","1","1","50.00","1","0","100.00","0","0","0.00","0.00","75.00","0.750","2","2","1","66.67"
