"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Morgan Rielly","D","1","6.6166666666667","8","6","57.14","7","5","58.33","5","3","62.50","0","0","0.00","4","3","57.14","1","2","33.33","0","0","0.00","0.00","100.00","1.000","1","3","1","50.00"
"","Ron Hainsey","D","1","6.5","7","6","53.85","6","5","54.55","4","3","57.14","0","0","0.00","3","3","50.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","1","3","1","50.00"
"","James van Riemsdyk","L","1","3.8833333333333","3","5","37.50","3","1","75.00","1","1","50.00","0","0","0.00","3","1","75.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","3","40.00"
"","Tyler Bozak","C","1","3.9666666666667","3","5","37.50","3","1","75.00","1","1","50.00","0","0","0.00","3","1","75.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","3","40.00"
"","Mitchell Marner","C","1","4.0833333333333","3","5","37.50","3","1","75.00","1","1","50.00","0","0","0.00","3","1","75.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","3","40.00"
"","Roman Polak","D","1","3.6833333333333","2","5","28.57","1","1","50.00","0","1","0.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","2","0.00"
"","Andreas Borgman","D","1","2.6","2","5","28.57","1","1","50.00","0","1","0.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","2","0.00"
"","Zach Hyman","C","1","4.3","7","4","63.64","6","4","60.00","4","3","57.14","1","0","100.00","5","2","71.43","1","2","33.33","0","0","0.00","25.00","100.00","1.250","0","1","0","0.00"
"","Connor Brown","R","1","4.2166666666667","7","4","63.64","6","4","60.00","4","3","57.14","1","0","100.00","5","2","71.43","1","2","33.33","0","0","0.00","25.00","100.00","1.250","0","1","0","0.00"
"","Auston Matthews","C","1","4.55","7","4","63.64","6","4","60.00","4","3","57.14","1","0","100.00","5","2","71.43","1","2","33.33","0","0","0.00","25.00","100.00","1.250","0","1","0","0.00"
"","Patrick Marleau","C","1","4.05","2","4","33.33","2","2","50.00","2","0","100.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","Leo Komarov","C","1","3.8833333333333","2","4","33.33","2","2","50.00","2","0","100.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","Nazem Kadri","C","1","4.2666666666667","3","4","42.86","2","2","50.00","2","0","100.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","Jake Gardiner","D","1","4.9","4","2","66.67","4","1","80.00","3","0","100.00","1","0","100.00","4","0","100.00","1","0","100.00","0","0","0.00","33.33","100.00","1.333","2","1","0","100.00"
"","Nikita Zaitsev","D","1","3.7","3","2","60.00","3","1","75.00","2","0","100.00","1","0","100.00","3","0","100.00","1","0","100.00","0","0","0.00","50.00","100.00","1.500","2","1","0","100.00"
"","Dominic Moore","C","1","1.5166666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Matt Martin","L","1","1.65","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","William Nylander","C","1","1.6333333333333","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
