"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Patrick Marleau","C","1","10.016666666667","7","15","31.82","5","11","31.25","4","8","33.33","0","1","0.00","3","5","37.50","2","3","40.00","0","1","0.00","0.00","87.50","0.875","2","1","6","25.00"
"","Mitchell Marner","C","1","8.85","4","15","21.05","4","11","26.67","3","8","27.27","0","1","0.00","3","5","37.50","2","3","40.00","0","1","0.00","0.00","87.50","0.875","2","1","5","28.57"
"","Zach Hyman","C","1","8.6333333333333","7","14","33.33","5","10","33.33","4","8","33.33","0","1","0.00","3","5","37.50","2","3","40.00","0","1","0.00","0.00","87.50","0.875","2","1","4","33.33"
"","Ron Hainsey","D","1","10.483333333333","13","11","54.17","10","8","55.56","8","6","57.14","0","0","0.00","6","5","54.55","3","3","50.00","0","0","0.00","0.00","100.00","1.000","5","1","4","55.56"
"","Jake Gardiner","D","1","9.9666666666667","6","10","37.50","6","7","46.15","3","6","33.33","0","1","0.00","3","4","42.86","2","4","33.33","0","1","0.00","0.00","83.33","0.833","2","5","9","18.18"
"","Morgan Rielly","D","1","9.0333333333333","11","9","55.00","7","8","46.67","5","6","45.45","0","0","0.00","4","5","44.44","1","3","25.00","0","0","0.00","0.00","100.00","1.000","5","0","4","55.56"
"","Nikita Zaitsev","D","1","8.5166666666667","4","9","30.77","4","6","40.00","1","5","16.67","0","1","0.00","2","4","33.33","1","4","20.00","0","1","0.00","0.00","80.00","0.800","2","4","6","25.00"
"","Leo Komarov","C","1","7.7166666666667","9","7","56.25","5","7","41.67","2","5","28.57","0","0","0.00","4","4","50.00","1","4","20.00","0","0","0.00","0.00","100.00","1.000","3","3","6","33.33"
"","Nazem Kadri","C","1","7.6666666666667","9","6","60.00","5","6","45.45","2","5","28.57","0","0","0.00","4","4","50.00","1","4","20.00","0","0","0.00","0.00","100.00","1.000","3","3","7","30.00"
"","William Nylander","C","1","7.35","9","6","60.00","5","6","45.45","3","5","37.50","0","0","0.00","3","4","42.86","1","4","20.00","0","0","0.00","0.00","100.00","1.000","3","3","6","33.33"
"","Andreas Borgman","D","1","6.7166666666667","15","5","75.00","10","5","66.67","6","3","66.67","0","0","0.00","7","0","100.00","4","0","100.00","0","0","0.00","0.00","100.00","1.000","4","1","2","66.67"
"","Roman Polak","D","1","7.2833333333333","17","4","80.95","11","4","73.33","7","2","77.78","0","0","0.00","8","0","100.00","5","0","100.00","0","0","0.00","0.00","100.00","1.000","4","1","5","44.44"
"","Connor Brown","R","1","5.6833333333333","12","2","85.71","9","1","90.00","6","0","100.00","0","0","0.00","6","0","100.00","5","0","100.00","0","0","0.00","0.00","100.00","1.000","3","1","1","75.00"
"","Dominic Moore","C","1","3.6333333333333","5","2","71.43","5","1","83.33","3","1","75.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","1","1","75.00"
"","Matt Martin","L","1","4.05","6","2","75.00","5","1","83.33","3","1","75.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","1","2","60.00"
"","James van Riemsdyk","L","1","4.8666666666667","12","1","92.31","9","1","90.00","6","0","100.00","0","0","0.00","6","0","100.00","5","0","100.00","0","0","0.00","0.00","100.00","1.000","3","1","1","75.00"
"","Tyler Bozak","C","1","5.5833333333333","13","1","92.86","9","1","90.00","6","0","100.00","0","0","0.00","6","0","100.00","5","0","100.00","0","0","0.00","0.00","100.00","1.000","3","1","2","60.00"
"","Josh Leivo","L","1","3.95","6","1","85.71","6","1","85.71","3","1","75.00","0","0","0.00","3","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","1","4","42.86"
