"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nikita Zaitsev","D","1","16.666666666667","20","22","47.62","13","20","39.39","10","13","43.48","0","0","0.00","7","9","43.75","3","4","42.86","0","0","0.00","0.00","100.00","1.000","5","3","3","62.50"
"","Jake Gardiner","D","1","18.65","27","16","62.79","19","16","54.29","13","12","52.00","0","0","0.00","12","6","66.67","5","0","100.00","0","0","0.00","0.00","100.00","1.000","7","5","3","70.00"
"","Ron Hainsey","D","1","17.75","9","16","36.00","7","13","35.00","4","6","40.00","0","0","0.00","0","6","0.00","0","4","0.00","0","0","0.00","0.00","100.00","1.000","7","12","6","53.85"
"","Mitchell Marner","C","1","16.45","14","15","48.28","9","14","39.13","7","8","46.67","0","0","0.00","6","3","66.67","2","1","66.67","0","0","0.00","0.00","100.00","1.000","5","9","3","62.50"
"","Patrick Marleau","C","1","14.883333333333","9","15","37.50","5","13","27.78","5","8","38.46","0","0","0.00","5","3","62.50","1","1","50.00","0","0","0.00","0.00","100.00","1.000","6","9","4","60.00"
"","Zach Hyman","C","1","13.85","9","15","37.50","5","13","27.78","4","7","36.36","0","0","0.00","4","3","57.14","2","2","50.00","0","0","0.00","0.00","100.00","1.000","5","8","3","62.50"
"","Leo Komarov","C","1","11.85","9","12","42.86","5","12","29.41","5","7","41.67","0","0","0.00","4","5","44.44","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","2","4","42.86"
"","Kasperi Kapanen","R","1","12.433333333333","11","11","50.00","8","9","47.06","5","6","45.45","1","0","100.00","4","5","44.44","3","3","50.00","1","0","100.00","20.00","100.00","1.200","4","5","0","100.00"
"","Nazem Kadri","C","1","13.666666666667","15","10","60.00","9","10","47.37","6","5","54.55","0","0","0.00","5","4","55.56","2","0","100.00","0","0","0.00","0.00","100.00","1.000","5","2","5","50.00"
"","William Nylander","C","1","10.25","8","10","44.44","4","10","28.57","3","6","33.33","0","0","0.00","3","5","37.50","1","0","100.00","0","0","0.00","0.00","100.00","1.000","6","2","5","54.55"
"","Roman Polak","D","1","11.616666666667","13","9","59.09","11","9","55.00","8","6","57.14","1","1","50.00","5","3","62.50","2","1","66.67","1","0","100.00","12.50","83.33","0.958","3","4","2","60.00"
"","Andreas Borgman","D","1","12.916666666667","10","9","52.63","7","8","46.67","7","5","58.33","1","1","50.00","6","4","60.00","1","1","50.00","1","0","100.00","14.29","80.00","0.943","4","6","2","66.67"
"","Tyler Bozak","C","1","12.85","24","8","75.00","21","7","75.00","13","7","65.00","0","1","0.00","7","4","63.64","2","1","66.67","0","0","0.00","0.00","85.71","0.857","5","6","3","62.50"
"","Morgan Rielly","D","1","18.066666666667","19","8","70.37","15","6","71.43","8","4","66.67","0","0","0.00","4","2","66.67","3","0","100.00","0","0","0.00","0.00","100.00","1.000","8","12","6","57.14"
"","Dominic Moore","C","1","9.4833333333333","9","7","56.25","7","6","53.85","4","3","57.14","1","0","100.00","3","4","42.86","3","3","50.00","1","0","100.00","25.00","100.00","1.250","3","4","0","100.00"
"","James van Riemsdyk","L","1","11.816666666667","21","6","77.78","18","5","78.26","11","5","68.75","0","1","0.00","4","3","57.14","1","1","50.00","0","0","0.00","0.00","80.00","0.800","4","6","3","57.14"
"","Matt Martin","L","1","7.6","9","6","60.00","7","4","63.64","5","2","71.43","1","0","100.00","4","3","57.14","4","2","66.67","1","0","100.00","20.00","100.00","1.200","3","4","0","100.00"
"","Connor Brown","R","1","10.483333333333","16","5","76.19","14","5","73.68","9","5","64.29","0","1","0.00","3","3","50.00","0","1","0.00","0","0","0.00","0.00","80.00","0.800","5","6","3","62.50"
