"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Morgan Rielly","D","1","11.666666666667","12","12","50.00","11","9","55.00","8","9","47.06","1","0","100.00","7","6","53.85","3","4","42.86","0","0","0.00","12.50","100.00","1.125","5","5","8","38.46"
"","Jake Gardiner","D","1","12.85","13","11","54.17","10","7","58.82","7","7","50.00","1","0","100.00","8","4","66.67","4","2","66.67","1","0","100.00","14.29","100.00","1.143","9","4","2","81.82"
"","Ron Hainsey","D","1","12.733333333333","11","9","55.00","11","7","61.11","8","7","53.33","0","0","0.00","8","4","66.67","5","2","71.43","0","0","0.00","0.00","100.00","1.000","5","6","8","38.46"
"","Patrick Marleau","C","1","10.166666666667","11","9","55.00","8","7","53.33","5","6","45.45","0","0","0.00","4","4","50.00","0","3","0.00","0","0","0.00","0.00","100.00","1.000","5","3","4","55.56"
"","Auston Matthews","C","1","8.1666666666667","9","7","56.25","8","3","72.73","6","3","66.67","2","0","100.00","6","2","75.00","3","1","75.00","1","0","100.00","33.33","100.00","1.333","6","1","4","60.00"
"","Mitchell Marner","C","1","8.15","5","7","41.67","5","4","55.56","4","4","50.00","0","0","0.00","4","2","66.67","3","0","100.00","0","0","0.00","0.00","100.00","1.000","4","6","3","57.14"
"","Nazem Kadri","C","1","9.3","11","6","64.71","9","5","64.29","6","4","60.00","0","0","0.00","5","2","71.43","2","1","66.67","0","0","0.00","0.00","100.00","1.000","4","2","4","50.00"
"","Leo Komarov","C","1","8.4833333333333","9","6","60.00","8","5","61.54","5","4","55.56","0","0","0.00","5","2","71.43","2","1","66.67","0","0","0.00","0.00","100.00","1.000","4","2","4","50.00"
"","William Nylander","C","1","7.4666666666667","9","6","60.00","8","3","72.73","5","3","62.50","2","0","100.00","5","2","71.43","2","1","66.67","1","0","100.00","40.00","100.00","1.400","5","0","4","55.56"
"","Roman Polak","D","1","9.1333333333333","8","6","57.14","7","4","63.64","6","3","66.67","0","0","0.00","4","2","66.67","4","0","100.00","0","0","0.00","0.00","100.00","1.000","4","3","2","66.67"
"","James van Riemsdyk","L","1","6.5","5","6","45.45","4","4","50.00","3","4","42.86","0","0","0.00","4","2","66.67","2","0","100.00","0","0","0.00","0.00","100.00","1.000","5","4","2","71.43"
"","Tyler Bozak","C","1","6.9833333333333","5","5","50.00","5","4","55.56","4","4","50.00","0","0","0.00","3","2","60.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","4","6","3","57.14"
"","Connor Carrick","D","1","6.7333333333333","11","4","73.33","9","2","81.82","6","2","75.00","2","0","100.00","7","0","100.00","2","0","100.00","1","0","100.00","33.33","100.00","1.333","8","2","0","100.00"
"","Connor Brown","R","1","6.1666666666667","9","4","69.23","9","4","69.23","6","4","60.00","0","0","0.00","6","3","66.67","6","2","75.00","0","0","0.00","0.00","100.00","1.000","2","3","0","100.00"
"","Zach Hyman","C","1","6.1166666666667","9","4","69.23","8","2","80.00","6","2","75.00","2","0","100.00","6","1","85.71","3","0","100.00","1","0","100.00","33.33","100.00","1.333","3","1","3","50.00"
"","Andreas Borgman","D","1","7.45","9","4","69.23","8","3","72.73","5","2","71.43","0","0","0.00","4","2","66.67","4","0","100.00","0","0","0.00","0.00","100.00","1.000","1","2","2","33.33"
"","Dominic Moore","C","1","4.2833333333333","7","2","77.78","6","2","75.00","5","2","71.43","0","0","0.00","4","1","80.00","4","0","100.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","Matt Martin","L","1","3.8166666666667","5","2","71.43","5","2","71.43","5","2","71.43","0","0","0.00","4","1","80.00","4","0","100.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
