"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","1.0833333333333","1","2","33.33","1","1","50.00","0","1","0.00","0","1","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","1","0","0","100.00"
"","Martin Marincin","D","1","0.85","1","2","33.33","1","1","50.00","0","1","0.00","0","1","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","1","0","0","100.00"
"","Dominic Moore","C","1","0.75","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","0","0","0","0.00"
"","Matt Martin","L","1","0.75","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","0","0","0","0.00"
"","Josh Leivo","L","1","0.5","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","0","0","0","0.00"
"","Patrick Marleau","C","1","0.65","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Ron Hainsey","D","1","1.55","2","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Leo Komarov","C","1","0.65","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Zach Hyman","C","1","0.38333333333333","2","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Morgan Rielly","D","1","0.9","2","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Connor Brown","R","1","0.65","1","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","William Nylander","C","1","0.38333333333333","2","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Auston Matthews","C","1","0.38333333333333","2","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","James van Riemsdyk","L","1","0.61666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Tyler Bozak","C","1","0.61666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Mitchell Marner","C","1","0.86666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Andreas Borgman","D","1","0.41666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
